"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"SMTPName","VARCHAR",,,"False"
"SMTPAuthentication","BIT",,,"False"
"MonerisHostedPreAuthKey","VARCHAR",,,"False"
"PBXType","VARCHAR",,,"False"
"SMTPUserName","VARCHAR",,,"False"
"SalesDivision","VARCHAR",,,"False"
"UseCreditCardAvsCvv","BIT",,,"True"
"SMTPPassword","VARCHAR",,,"True"
"SMTPPort","VARCHAR",,,"False"
"Tax3Labor","BIT",,,"False"
"Tax3Percent","NUMERIC",,,"False"
"Tax3GLAccount","VARCHAR",,,"False"
"Tax3ItemSerial","BIT",,,"False"
"MonerisStoreID","VARCHAR",,,"False"
"MonerisHostedPurchaseKey","VARCHAR",,,"False"
"MonerisHostedPreAuthID","VARCHAR",,,"False"
"MonerisApiToken","VARCHAR",,,"False"
"MonerisHostedPurchaseID","VARCHAR",,,"False"
"RestrictLocationVisibility","BIT",,,"False"
"EnableBrandRestrictions","BIT",,,"False"
"EnablePaymentCAPTCHA","BIT",,,"False"
"ePaymintsApiSecurityKey","VARCHAR",,,"False"
"DoNotAllowLogin","BIT",,,"False"
"EPASSPayApiMerchant","VARCHAR",,,"False"
"AvalaraTaxCompanyCode","VARCHAR",,,"False"
"ProfitCenter","VARCHAR",,,"False"
"EPASSPayApiMerchantACH","VARCHAR",,,"False"
"PBXJwt","VARCHAR",,,"False"
"Tax3ExtWarranty","BIT",,,"False"
"EMail","VARCHAR",,,"False"
"UseBranchTaxesForExtWarranties","BIT",,,"False"
"Tax2ExtWarranty","BIT",,,"False"
"Website","VARCHAR",,,"False"
"TLS12","BIT",,,"False"
"GEStoreNumber","VARCHAR",,,"False"
"StartAddrDestinationCode","VARCHAR",,,"False"
"SendSMTPVia","VARCHAR",,,"False"
"Tax3Description","VARCHAR",,,"False"
"PrintAuditNumber","INTEGER",,,"False"
"AccountToken","VARCHAR",,,"False"
"Phone2","VARCHAR",,,"False"
"Fax","VARCHAR",,,"False"
"DefaultSaveCreditCardChecked","BIT",,,"True"
"PBXpassword","VARCHAR",,,"True"
"PBXCallerIDName","VARCHAR",,,"False"
"PBXurl","VARCHAR",,,"False"
"PBXuser","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"Address1","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"Code","VARCHAR",,,"False"
"Address2","VARCHAR",,,"False"
"ZipCode","VARCHAR",,,"False"
"Phone1","VARCHAR",,,"False"
"City","VARCHAR",,,"False"
"State","VARCHAR",,,"False"
"PBXCallerIDPhone","VARCHAR",,,"False"
"Tax2Code","VARCHAR",,,"False"
"Tax2Description","VARCHAR",,,"False"
"UseTestServer","BIT",,,"False"
"UseBranchTaxes","BIT",,,"False"
"Tax2GLAccount","VARCHAR",,,"False"
"Tax2Percent","NUMERIC",,,"False"
"Tax3Code","VARCHAR",,,"False"
"Tax2ItemSerial","BIT",,,"False"
"Tax2Labor","BIT",,,"False"
"PrintDescription","VARCHAR",,,"False"
"VantivContactName","VARCHAR",,,"False"
"DisplayListInSM","VARCHAR",,,"False"
"DisplayCostInSM","VARCHAR",,,"False"
"VantivContactEmail","VARCHAR",,,"False"
"VantivWebServiceID","VARCHAR",,,"False"
"VantivWebServicePassword","VARCHAR",,,"True"
"VantivHostedCheckoutID","VARCHAR",,,"False"
"VantivHostedCheckoutPassword","VARCHAR",,,"True"
