"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"ServicePowerBrand","VARCHAR",,,"False"
"SamsungBrand","VARCHAR",,,"False"
"UserCode","VARCHAR",,,"False"
"ImmediateReservedDays","INTEGER",,,"False"
"ShowOnSvcReq","BIT",,,"False"
"ModelCommentCode","VARCHAR",,,"False"
"RetailDeckBrand","VARCHAR",,,"False"
"SBBrand","VARCHAR",,,"False"
"SupplierCode","VARCHAR",,,"False"
"BrandSourceLinqBrand","VARCHAR",,,"False"
"WtyExpirationMonths","INTEGER",,,"False"
"EnableWtyExpiration","BIT",,,"False"
"RequiresSpecialAuth","BIT",,,"False"
"MinimumSellingPrice","VARCHAR",,,"False"
"DisableMPHDiagnosticsExport","BIT",,,"False"
"DispatchMeBrand","VARCHAR",,,"False"
"ItemCommentCode","VARCHAR",,,"False"
"ServiceCenterNumber","VARCHAR",,,"False"
"MarkupCodeForSerial","VARCHAR",,,"False"
"BarCodeLeadingCharItem","NUMERIC",,,"False"
"MfgCode","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"MarkupCodeForItem","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"RebatePercentage","NUMERIC",,,"False"
"UMRPPricing","BIT",,,"False"
"MfgWtyMonths","INTEGER",,,"False"
"OEM","VARCHAR",,,"False"
"BarCodeLeadingCharSerial","INTEGER",,,"False"
"BarCodeLeadingCharModel","INTEGER",,,"False"
"Qualification","VARCHAR",,,"False"
"BarcodeSchema","VARCHAR",,,"False"
