"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"RestrictRequestedDate","BIT",,,"False"
"DaysToReserve","INTEGER",,,"False"
"DaysToAutoBackorder","INTEGER",,,"False"
"DetailQtyWarning","INTEGER",,,"False"
"RequireShipViaEnableDelivery","BIT",,,"False"
"DeliveryMiscType","VARCHAR",,,"False"
"NPDChannelCode","VARCHAR",,,"False"
"GMMiscTypeForInvoice","BIT",,,"False"
"ModelGMIncludeMisc","VARCHAR",,,"False"
"RequireModelRef","BIT",,,"False"
"DoNotAddRelatedMiscRebates","BIT",,,"False"
"NotAutoBackorderMinDeposit","BIT",,,"False"
"EnableFollowUpDate","BIT",,,"False"
"DefaultFollowUpDays","INTEGER",,,"False"
"BaseDeliveryCharge","BIT",,,"False"
"ShowReservedLocation","BIT",,,"False"
"BACreditLimitCheck","BIT",,,"False"
"BAPaymentTypeCode","VARCHAR",,,"False"
"UpdateStockFlagOnEdit","BIT",,,"False"
"PackageAISuggestedDriver","BIT",,,"False"
"PackageAISkills","VARCHAR",,,"False"
"UpdateStockFlagOnCopy","BIT",,,"False"
"ExtendedInvoiceDetail","BIT",,,"False"
"AutoUpdateBaseDeliveryCharge","BIT",,,"False"
"PackageAIHubID","VARCHAR",,,"False"
"RequireModelBaseDeliveryCharge","BIT",,,"False"
"BAInvTypeCode","VARCHAR",,,"False"
"BAEnabledBuilder","BIT",,,"False"
"BAEnabledCustomer","BIT",,,"False"
"DisableMinSellingPrice","BIT",,,"False"
"EnableBranchMinDeposit","BIT",,,"False"
"RequireEmailDuringAddInvoice","BIT",,,"False"
"StartAddrDestinationCode","VARCHAR",,,"False"
"UseMiscDiscountCodes","BIT",,,"False"
"CODCascadeToJobStatusCode","VARCHAR",,,"False"
"ShowSerialFieldsSvcTab","BIT",,,"False"
"SecondaryStandardCostCode","VARCHAR",,,"False"
"CopyDefaultSchdDtNextAvailable","BIT",,,"False"
"CustomerServiceTicket","BIT",,,"False"
"NotApprovedJobStatusCode","VARCHAR",,,"False"
"BlankOutJobStatus","BIT",,,"False"
"NotAllowPickup","BIT",,,"False"
"NotAllowPickupNoDetail","BIT",,,"False"
"GMIncludeItem","BIT",,,"False"
"UseBranchPCFromDetail","BIT",,,"False"
"RequireAllReservedSchedule","BIT",,,"False"
"WriteModelDeleteNotepad","BIT",,,"False"
"RestrictItemLocationsByBranch","BIT",,,"False"
"UseTTRTax","BIT",,,"False"
"BalanceSplitInvoice","BIT",,,"False"
"GEHomeDelivery","BIT",,,"False"
"GMIncludeLabor","BIT",,,"False"
"GMIncludeWty","BIT",,,"False"
"GMIncludeMisc","BIT",,,"False"
"GMIncludeOnlyRebateDiscount","BIT",,,"False"
"DefaultJobStatusOnSplit","VARCHAR",,,"False"
"DefaultJobStatusOnCopy","VARCHAR",,,"False"
"WriteItemDeleteNotepad","BIT",,,"False"
"MailingCategory3Code","VARCHAR",,,"False"
"MailingCategory2Code","VARCHAR",,,"False"
"MailingCategory1Code","VARCHAR",,,"False"
"PackageCode","VARCHAR",,,"False"
"SaleReferralRequired","BIT",,,"False"
"RequireSalesperson","BIT",,,"False"
"ReferenceToAR","BIT",,,"False"
"ItemGLRevenue","VARCHAR",,,"False"
"ItemGLCostDb","VARCHAR",,,"False"
"ItemGLCostCr","VARCHAR",,,"False"
"ItemPrinting","VARCHAR",,,"False"
"LaborGLRevenue","VARCHAR",,,"False"
"LaborGLCostDb","VARCHAR",,,"False"
"LaborGLCostCr","VARCHAR",,,"False"
"SerialAccsGLCostCr","VARCHAR",,,"False"
"SerialUsedGLCostDb","VARCHAR",,,"False"
"SerialUsedGLCostCr","VARCHAR",,,"False"
"SerialNewGLRevenue","VARCHAR",,,"False"
"SerialUsedGLRevenue","VARCHAR",,,"False"
"Warranty","VARCHAR",,,"False"
"TripCharge","BIT",,,"False"
"TotalOpenBOLine","BIT",,,"False"
"SerialDmgdGLCostCr","VARCHAR",,,"False"
"SerialAccsGLRevenue","VARCHAR",,,"False"
"SerialAccsGLCostDb","VARCHAR",,,"False"
"SerialDmgdGLCostDb","VARCHAR",,,"False"
"SerialNewGLCostDb","VARCHAR",,,"False"
"SerialNewGLCostCr","VARCHAR",,,"False"
"SerialDmgdGLRevenue","VARCHAR",,,"False"
"WriteCommentDeleteNotepad","BIT",,,"False"
"ReturnReasonRequired","BIT",,,"False"
"ShowOpenRelatedInvoice","BIT",,,"False"
"GetTaxesForPickupFromDetailLoc","BIT",,,"False"
"RequireModelCostSelection","BIT",,,"False"
"RequireModelListPriceCode","BIT",,,"False"
"AddBaseDeliveryToSplit","BIT",,,"False"
"DefaultLocationFromMapZone","BIT",,,"False"
"ShowCTPPaymentLink","BIT",,,"False"
"ShowContactsTab","BIT",,,"False"
"NotAllowDateChangeAfterShip","BIT",,,"False"
"BABuilderAllowCOD","BIT",,,"False"
"OutOfStateCode","VARCHAR",,,"False"
"OutOfStateWarning","BIT",,,"False"
"AddOneWtyPerModel","BIT",,,"False"
"EstimatePrinting","VARCHAR",,,"False"
"Estimate","VARCHAR",,,"False"
"Dispatch","BIT",,,"False"
"ExportToWarrantyClaim","BIT",,,"False"
"InvoicePrinting","VARCHAR",,,"False"
"InvPrintFormConfigCode","VARCHAR",,,"False"
"InvNumberCode","VARCHAR",,,"False"
"AutomaticFinishing","BIT",,,"False"
"AllowQuantityBreak","BIT",,,"False"
"AddBranchToGL","BIT",,,"False"
"Code","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"CustomerAccountRequired","BIT",,,"False"
"CommentCode","VARCHAR",,,"False"
"NotShowRequestedDate","BIT",,,"False"
"RequireServiceProduct","BIT",,,"False"
"VerifyTaxCode","BIT",,,"False"
"NardaCode","VARCHAR",,,"False"
"RequireServiceModel","BIT",,,"False"
"RequireServicePurchaseDate","BIT",,,"False"
"RequireServiceDealer","BIT",,,"False"
"RequireServiceSerial","BIT",,,"False"
"RequireReference","BIT",,,"False"
"UpdateInvoiceDate","BIT",,,"False"
"PaymentWarningOnExit","BIT",,,"False"
"SignatureCommentCode","VARCHAR",,,"False"
"RequireServiceBrand","BIT",,,"False"
"RequirePriorities","BIT",,,"False"
"UpdateWarrantyEndDate","BIT",,,"False"
"RequireServiceComplaint","BIT",,,"False"
"UpdateStandCostOnEditFinish","BIT",,,"False"
