"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"SaleReferralCode","VARCHAR",,,"False"
"Reference","VARCHAR",,,"False"
"PickUpDate","DATE",,,"False"
"Salesperson2Percentage","NUMERIC",,,"False"
"Salesperson2Code","VARCHAR",,,"False"
"Salesperson1Code","VARCHAR",,,"False"
"PaymentTypeCode","VARCHAR",,,"False"
"MiscTotal","NUMERIC",,,"False"
"MapZoneCode","VARCHAR",,,"False"
"MapReference","VARCHAR",,,"False"
"PONumber","VARCHAR",,,"False"
"OtherListPriceCode","VARCHAR",,,"False"
"OpenPaymentTotal","NUMERIC",,,"False"
"ScheduleDate","DATE",,,"False"
"SoldToLastName","VARCHAR",,,"False"
"SoldToFirstName","VARCHAR",,,"False"
"SoldToEmail","VARCHAR",,,"False"
"SoldToState","VARCHAR",,,"False"
"SoldToPhone2","VARCHAR",,,"False"
"SoldToPhone1","VARCHAR",,,"False"
"SoldToDirections","VARCHAR",,,"False"
"SoldToAddress1","VARCHAR",,,"False"
"SerialTotal","NUMERIC",,,"False"
"SerialListPriceCode","VARCHAR",,,"False"
"SoldToCode","VARCHAR",,,"False"
"SoldToCity","VARCHAR",,,"False"
"SoldToAddress2","VARCHAR",,,"False"
"LaborTotal","NUMERIC",,,"False"
"DispatchSpecRequest","VARCHAR",,,"False"
"DispatchRequestedRouteCode","VARCHAR",,,"False"
"DispatchPriority","VARCHAR",,,"False"
"Estimate","VARCHAR",,,"False"
"DispatchTimeAM","VARCHAR",,,"False"
"DispatchTime","VARCHAR",,,"False"
"DateModified","DATE",,,"False"
"CallSequence","INTEGER",,,"False"
"COGSPosted","BIT",,,"False"
"BranchCode","VARCHAR",,,"False"
"DateCreated","DATE",,,"False"
"CommittedPaymentTotal","NUMERIC",,,"False"
"Code","VARCHAR",,,"False"
"Field1","VARCHAR",,,"False"
"JobLocation","VARCHAR",,,"False"
"ItemTotal","NUMERIC",,,"False"
"ItemListPriceCode","VARCHAR",,,"False"
"LaborRate","VARCHAR",,,"False"
"JobStatusCode","VARCHAR",,,"False"
"JobNumber","VARCHAR",,,"False"
"InvTypeCode","VARCHAR",,,"False"
"Field4","VARCHAR",,,"False"
"Field3","VARCHAR",,,"False"
"Field2","VARCHAR",,,"False"
"InvStartDate","DATE",,,"False"
"InvFinishDate","DATE",,,"False"
"Field5","VARCHAR",,,"False"
"SoldToZipCode","VARCHAR",,,"False"
"SvcTimeStarted2","VARCHAR",,,"False"
"SvcTimeStarted1","VARCHAR",,,"False"
"SvcTimeOnJob2","VARCHAR",,,"False"
"Tax2Code","VARCHAR",,,"False"
"Tax1Total","NUMERIC",,,"False"
"Tax1Exempt","VARCHAR",,,"False"
"SvcTimeOnJob1","VARCHAR",,,"False"
"SvcSpecAuthNumber","VARCHAR",,,"False"
"SvcSerial","VARCHAR",,,"False"
"SvcRunNumber","VARCHAR",,,"False"
"SvcTimeCompleted2","VARCHAR",,,"False"
"SvcTimeCompleted1","VARCHAR",,,"False"
"SvcStockMerchandise","BIT",,,"False"
"Tax2Exempt","VARCHAR",,,"False"
"WarrantyField3","VARCHAR",,,"False"
"WarrantyField2","VARCHAR",,,"False"
"WarrantyField1","VARCHAR",,,"False"
"WtyTotal","NUMERIC",,,"False"
"WarrantyField5","VARCHAR",,,"False"
"WarrantyField4","VARCHAR",,,"False"
"Warranty","VARCHAR",,,"False"
"Tax3Exempt","VARCHAR",,,"False"
"Tax2Total","NUMERIC",,,"False"
"Tax2Percentage","NUMERIC",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"Tax3Total","NUMERIC",,,"False"
"SvcRepairCode","VARCHAR",,,"False"
"SvcDealerCode","VARCHAR",,,"False"
"SvcDatePurchased","DATE",,,"False"
"SvcComplaintDesc","VARCHAR",,,"False"
"SvcInWarranty","VARCHAR",,,"False"
"SvcDistributorNumber","VARCHAR",,,"False"
"SvcDealerDesc","VARCHAR",,,"False"
"SvcComplaintCode","VARCHAR",,,"False"
"SvcAgreementNumber","VARCHAR",,,"False"
"SvcAgreementExpDate","DATE",,,"False"
"Status","VARCHAR",,,"False"
"SvcCenterNumber","VARCHAR",,,"False"
"SvcCenter","VARCHAR",,,"False"
"SvcBrandCode","VARCHAR",,,"False"
"SvcMfgCodeEiaNumber","VARCHAR",,,"False"
"SvcProduct","VARCHAR",,,"False"
"SvcPerformedDesc","VARCHAR",,,"False"
"SvcPerformedCode","VARCHAR",,,"False"
"SvcRepairCategory","VARCHAR",,,"False"
"SvcRepairCatMinorMajor","VARCHAR",,,"False"
"SvcProductCode","VARCHAR",,,"False"
"SvcMotorOldNumber","VARCHAR",,,"False"
"SvcMilesRate","NUMERIC",,,"False"
"SvcMiles","NUMERIC",,,"False"
"SvcMicroLeak","VARCHAR",,,"False"
"SvcMotorNewNumber","VARCHAR",,,"False"
"SvcModel","VARCHAR",,,"False"
"SvcMilesTotal","NUMERIC",,,"False"
"BillToZipCode","VARCHAR",,,"False"
"DispatchEmail","BIT",,,"False"
"JobStatusUpdate","BIT",,,"False"
"SoldToLongitude","NUMERIC",,,"False"
