"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"InvoiceCode","VARCHAR",,,"False"
"InPackage","BIT",,,"False"
"DateStamp","DATE",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"UpdateHistory","BIT",,,"False"
"DateModified","DATE",,,"False"
"sysCreated","TIMESTAMP",,,"False"
"TripNo","INTEGER",,,"False"
"ID","INTEGER",,,"False"
"sysModified","TIMESTAMP",,,"False"
"DateCreated","DATE",,,"False"
"CommentDesc","VARCHAR",,,"False"
"CommentCode","VARCHAR",,,"False"
