"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"SupplierInvoice","VARCHAR",,,"False"
"SupplierCode","VARCHAR",,,"False"
"Status","VARCHAR",,,"False"
"TakenDate","DATE",,,"False"
"Taken","BIT",,,"False"
"SupplierInvoiceDate","DATE",,,"False"
"QtyOrdered","INTEGER",,,"False"
"LocationCode","VARCHAR",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"SellingPrice","NUMERIC",,,"False"
"QtyShipped","INTEGER",,,"False"
"QtyReserved","INTEGER",,,"False"
"UnitCost","NUMERIC",,,"False"
"Total","NUMERIC",,,"False"
"Tax3","BIT",,,"False"
"Warranty","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"Tax1CostList","VARCHAR",,,"False"
"Tax1","BIT",,,"False"
"TakenStatus","VARCHAR",,,"False"
"Tax2","BIT",,,"False"
"Tax1Percentage","NUMERIC",,,"False"
"Tax1Included","BIT",,,"False"
"ItemDesc","VARCHAR",,,"False"
"UserVerified","VARCHAR",,,"False"
"Reference","VARCHAR",,,"False"
"AutoBackorder","BIT",,,"False"
"CommissionCode","VARCHAR",,,"False"
"TimeVerified","VARCHAR",,,"False"
"DateVerified","DATE",,,"False"
"PODateStamp","DATE",,,"False"
"TripNo","INTEGER",,,"False"
"ID","INTEGER",,,"False"
"Installed","BIT",,,"False"
"OrderFromSupplierCode","VARCHAR",,,"False"
"POLineTimeStamp","VARCHAR",,,"False"
"FailureCode","VARCHAR",,,"False"
"DateStamp","DATE",,,"False"
"DateModified","DATE",,,"False"
"ItemCode","VARCHAR",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"InPackage","BIT",,,"False"
"sysModified","TIMESTAMP",,,"False"
"sysCreated","TIMESTAMP",,,"False"
"BranchCode","VARCHAR",,,"False"
"DateCreated","DATE",,,"False"
"DateCommitted","DATE",,,"False"
"AutoRestocking","BIT",,,"False"
