"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"Rate","NUMERIC",,,"False"
"NardaCode","VARCHAR",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"Tax1","BIT",,,"False"
"Status","VARCHAR",,,"False"
"ServiceDate","DATE",,,"False"
"HdthsMin","VARCHAR",,,"False"
"FlatRate","BIT",,,"False"
"DateStamp","DATE",,,"False"
"LaborRateCode","VARCHAR",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"InPackage","BIT",,,"False"
"Tax2","BIT",,,"False"
"TripChargeTime","NUMERIC",,,"False"
"TripChargeAmt","NUMERIC",,,"False"
"TripCharge","BIT",,,"False"
"Warranty","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"TechnicianDesc","VARCHAR",,,"False"
"TechnicianCode","VARCHAR",,,"False"
"Tax3","BIT",,,"False"
"Total","NUMERIC",,,"False"
"TimeRate","VARCHAR",,,"False"
"TimeCharged","NUMERIC",,,"False"
"GLCostDb","VARCHAR",,,"False"
"GLCostCr","VARCHAR",,,"False"
"JobStatus","VARCHAR",,,"False"
"ActualCost","NUMERIC",,,"False"
"StandardCost","NUMERIC",,,"False"
"GLRevenue","VARCHAR",,,"False"
"TimeIn","VARCHAR",,,"False"
"TripNo","INTEGER",,,"False"
"ID","INTEGER",,,"False"
"TimeOutAM","VARCHAR",,,"False"
"TimeOut","VARCHAR",,,"False"
"TimeInAM","VARCHAR",,,"False"
"TechnicianInvoiceNumber","VARCHAR",,,"False"
"sysModified","TIMESTAMP",,,"False"
"sysCreated","TIMESTAMP",,,"False"
"BranchCode","VARCHAR",,,"False"
"DateModified","DATE",,,"False"
"DateCreated","DATE",,,"False"
"Cost","NUMERIC",,,"False"
"TimeVerified","VARCHAR",,,"False"
"DateVerified","DATE",,,"False"
"UserVerified","VARCHAR",,,"False"
"EDIFormat","VARCHAR",,,"False"
"CommissionCode","VARCHAR",,,"False"
"TechnicianBillingNumber","VARCHAR",,,"False"
