"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"InvoiceCode","VARCHAR",,,"False"
"InPackage","BIT",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"MiscDesc","VARCHAR",,,"False"
"MiscCode","VARCHAR",,,"False"
"GLRevenue","VARCHAR",,,"False"
"DateModified","DATE",,,"False"
"DateCreated","DATE",,,"False"
"DateStamp","DATE",,,"False"
"GLCostDb","VARCHAR",,,"False"
"GLCostCr","VARCHAR",,,"False"
"UpdateHistory","BIT",,,"False"
"UnitCost","NUMERIC",,,"False"
"UserCreated","VARCHAR",,,"False"
"Warranty","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"Total","NUMERIC",,,"False"
"SellingPrice","NUMERIC",,,"False"
"Qty","INTEGER",,,"False"
"Tax1","BIT",,,"False"
"Tax3","BIT",,,"False"
"Tax2","BIT",,,"False"
"CreditReasonCode","VARCHAR",,,"False"
"CreditedTime","VARCHAR",,,"False"
"CreditedDate","DATE",,,"False"
"CreditedUser","VARCHAR",,,"False"
"UserVerified","VARCHAR",,,"False"
"InvoicePaymentRef","VARCHAR",,,"False"
"SubmittedUser","VARCHAR",,,"False"
"TripNo","INTEGER",,,"False"
"ID","INTEGER",,,"False"
"Comment","VARCHAR",,,"False"
"SubmittedTime","VARCHAR",,,"False"
"SubmittedDate","DATE",,,"False"
"InvoiceModelCode","VARCHAR",,,"False"
"InvoiceModelInvoiceCode","VARCHAR",,,"False"
"BranchCode","VARCHAR",,,"False"
"sysModified","TIMESTAMP",,,"False"
"sysCreated","TIMESTAMP",,,"False"
"InvoiceModelLineTimeStamp","VARCHAR",,,"False"
"TimeVerified","VARCHAR",,,"False"
"DateVerified","DATE",,,"False"
"CommissionCode","VARCHAR",,,"False"
"InvoiceModelDateStamp","DATE",,,"False"
"EDIFormat","VARCHAR",,,"False"
