"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"LineTimeStamp","VARCHAR",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"InPackage","BIT",,,"False"
"LocationCode","VARCHAR",,,"False"
"NewUsed","VARCHAR",,,"False"
"ModelDesc","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"CostSelected","VARCHAR",,,"False"
"ListPriceCode","VARCHAR",,,"False"
"ModelStockAtFinish","BIT",,,"False"
"ListPriceChanged","BIT",,,"False"
"DateStamp","DATE",,,"False"
"DateModified","DATE",,,"False"
"DateCreated","DATE",,,"False"
"QtyOrdered","INTEGER",,,"False"
"Tax2","BIT",,,"False"
"Tax1Percentage","NUMERIC",,,"False"
"Tax1Included","BIT",,,"False"
"Tax3","BIT",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"Total","NUMERIC",,,"False"
"SellingPrice","NUMERIC",,,"False"
"QtyShipped","INTEGER",,,"False"
"QtyReserved","INTEGER",,,"False"
"Spiff","NUMERIC",,,"False"
"Tax1CostList","VARCHAR",,,"False"
"Tax1","BIT",,,"False"
"Status","VARCHAR",,,"False"
"ModelStock","BIT",,,"False"
"PODateStamp","DATE",,,"False"
"Reference","VARCHAR",,,"False"
"POCode","VARCHAR",,,"False"
"POLineTimeStamp","VARCHAR",,,"False"
"LandedCost","NUMERIC",,,"False"
"TripNo","INTEGER",,,"False"
"SpecialOrderDate","DATE",,,"False"
"TakenDate","DATE",,,"False"
"TakenStatus","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"AverageCost","NUMERIC",,,"False"
"Color","VARCHAR",,,"False"
"LastCost","NUMERIC",,,"False"
"StandardCost","NUMERIC",,,"False"
"AutoBackorder","BIT",,,"False"
"BranchCode","VARCHAR",,,"False"
"EDIFormat","VARCHAR",,,"False"
"CommissionCode","VARCHAR",,,"False"
"sysCreated","TIMESTAMP",,,"False"
"Features","VARCHAR",,,"False"
"FeaturesCode","VARCHAR",,,"False"
"sysModified","TIMESTAMP",,,"False"
"UserVerified","VARCHAR",,,"False"
"ReplacementCost","NUMERIC",,,"False"
"ManufacturersWarranty","INTEGER",,,"False"
"DateVerified","DATE",,,"False"
"ReserveExclusive","BIT",,,"False"
"OriginalCost","NUMERIC",,,"False"
"TimeVerified","VARCHAR",,,"False"
