"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"ReturnReasonCode","VARCHAR",,,"False"
"UserReturned","VARCHAR",,,"False"
"TimeReturned","VARCHAR",,,"False"
"ReturnOutcomeCode","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"ReturnType","VARCHAR",,,"False"
"ReturnInitiatedByCode","VARCHAR",,,"False"
"DateReturned","DATE",,,"False"
"InvoiceModelDateStamp","DATE",,,"False"
"RouteCode","VARCHAR",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"InvoiceModelLineTimeStamp","VARCHAR",,,"False"
"SerialCode","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"InvoiceSerialID","VARCHAR",,,"False"
