"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"Returned","BIT",,,"False"
"SerialCode","VARCHAR",,,"False"
"Status","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"ModelDateStamp","DATE",,,"False"
"ModelLineTimeStamp","VARCHAR",,,"False"
"UnitCost","NUMERIC",,,"False"
"UserCreated","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"Taken","BIT",,,"False"
"TakenDate","DATE",,,"False"
"TakenStatus","VARCHAR",,,"False"
"ReturnOutcomeCode","VARCHAR",,,"False"
"ReturnInitiatedByCode","VARCHAR",,,"False"
"sysCreated","TIMESTAMP",,,"False"
"ID","INTEGER",,,"False"
"TakenLocationCode","VARCHAR",,,"False"
"ReturnReasonCode","VARCHAR",,,"False"
"DateModified","DATE",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"sysModified","TIMESTAMP",,,"False"
"DateCommitted","DATE",,,"False"
"DateCreated","DATE",,,"False"
