"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"InvoiceCode","VARCHAR",,,"False"
"InPackage","BIT",,,"False"
"Model","VARCHAR",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"GLRevenue","VARCHAR",,,"False"
"ExtWarrantyDesc","VARCHAR",,,"False"
"ExtWarrantyCode","VARCHAR",,,"False"
"GLCostDb","VARCHAR",,,"False"
"GLCostCr","VARCHAR",,,"False"
"UnitCost","NUMERIC",,,"False"
"Tax3","BIT",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"Tax2","BIT",,,"False"
"Serial","VARCHAR",,,"False"
"SellingPrice","NUMERIC",,,"False"
"Tax1","BIT",,,"False"
"StartDate","DATE",,,"False"
"EndDate","DATE",,,"False"
"UserVerified","VARCHAR",,,"False"
"CheckException","BIT",,,"False"
"TimeVerified","VARCHAR",,,"False"
"DateVerified","DATE",,,"False"
"OrgModSelPrice","NUMERIC",,,"False"
"TripNo","INTEGER",,,"False"
"ID","INTEGER",,,"False"
"DateAcknowledged","DATE",,,"False"
"Acknowledged","BIT",,,"False"
"DateCreated","DATE",,,"False"
"ContractNumber","VARCHAR",,,"False"
"DateStamp","DATE",,,"False"
"DateModified","DATE",,,"False"
"Commission","NUMERIC",,,"False"
"BranchCode","VARCHAR",,,"False"
"CommissionCode","VARCHAR",,,"False"
"sysModified","TIMESTAMP",,,"False"
"sysCreated","TIMESTAMP",,,"False"
