"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"MainStockQOH","INTEGER",,,"False"
"MainStockYTD","INTEGER",,,"False"
"ManufacturersWarranty","INTEGER",,,"False"
"MainStockMin","INTEGER",,,"False"
"LocQOH","INTEGER",,,"False"
"LocYTD","INTEGER",,,"False"
"MainStockMax","INTEGER",,,"False"
"Obsolete","BIT",,,"False"
"OrderRatioInventory","INTEGER",,,"False"
"OrderRatioPurchasing","INTEGER",,,"False"
"Note","VARCHAR",,,"False"
"MarkupCode","VARCHAR",,,"False"
"MfgReturned","INTEGER",,,"False"
"MiscCode","VARCHAR",,,"False"
"LandedCost","NUMERIC",,,"False"
"LandingFactor","NUMERIC",,,"False"
"LastCost","NUMERIC",,,"False"
"InventoryTypeCode","VARCHAR",,,"False"
"Field3","VARCHAR",,,"False"
"Field4","VARCHAR",,,"False"
"Field5","VARCHAR",,,"False"
"ListPrice","NUMERIC",,,"False"
"LocMax","INTEGER",,,"False"
"LocMin","INTEGER",,,"False"
"LastUpdateDateTime","VARCHAR",,,"False"
"LastDateOrdered","DATE",,,"False"
"LastDateReceived","DATE",,,"False"
"LastDateSold","DATE",,,"False"
"OriginalCost","NUMERIC",,,"False"
"Tax1Percentage","NUMERIC",,,"False"
"Tax2","BIT",,,"False"
"Tax3","BIT",,,"False"
"Tax1Included","BIT",,,"False"
"Supplier3Cost","NUMERIC",,,"False"
"Tax1","BIT",,,"False"
"Tax1CostList","VARCHAR",,,"False"
"UnitOfMeasureCode","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"TotalReserved","INTEGER",,,"False"
"TotalLastYear","INTEGER",,,"False"
"TotalPrevLastYear","INTEGER",,,"False"
"TotalQOO","INTEGER",,,"False"
"ReplacementCostEffectiveDate","DATE",,,"False"
"ResizePicture","BIT",,,"False"
"SKU","VARCHAR",,,"False"
"ReplacementCost","NUMERIC",,,"False"
"PicturePath","VARCHAR",,,"False"
"PriceTag","VARCHAR",,,"False"
"ProductCode","VARCHAR",,,"False"
"Supplier2Code","VARCHAR",,,"False"
"Supplier2Cost","NUMERIC",,,"False"
"Supplier3Code","VARCHAR",,,"False"
"Supplier1Cost","NUMERIC",,,"False"
"Stock","BIT",,,"False"
"Substituted","BIT",,,"False"
"Supplier1Code","VARCHAR",,,"False"
"Field2","VARCHAR",,,"False"
"Link","VARCHAR",,,"False"
"PubDate","VARCHAR",,,"False"
"TimeStamp","TIMESTAMP",,,"False"
"Description","VARCHAR",,,"False"
"Category","VARCHAR",,,"False"
"ChannelDescription","VARCHAR",,,"False"
"ChannelTitle","VARCHAR",,,"False"
"Link","VARCHAR",,,"False"
"UpdateImportPricing","BIT",,,"False"
"ShippingMethodCode","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"Title","VARCHAR",,,"False"
"ZCRC","VARCHAR",,,"False"
"childsub","INTEGER",,,"False"
"GetMethod","VARCHAR",,,"False"
"MaxLen","INTEGER",,,"False"
"MaxVal","INTEGER",,,"False"
"Description","VARCHAR",,,"False"
"ItemGroup","VARCHAR",,,"False"
"ID","VARCHAR",,,"False"
"Activated","BIT",,,"False"
"Type","VARCHAR",,,"False"
"Feed","VARCHAR",,,"False"
"ID","VARCHAR",,,"False"
"Name","VARCHAR",,,"False"
"MinLen","INTEGER",,,"False"
"MinVal","INTEGER",,,"False"
"Monitor","BIT",,,"False"
"PrintLabels","BIT",,,"False"
"BrandCode","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"Color","VARCHAR",,,"False"
"BinLocationCode","VARCHAR",,,"False"
"AutoRecalcList","BIT",,,"False"
"AverageCost","NUMERIC",,,"False"
"Barcode","VARCHAR",,,"False"
"EOQ","INTEGER",,,"False"
"Equivalent","VARCHAR",,,"False"
"Field1","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"CommentCode","VARCHAR",,,"False"
"DateCreated","DATE",,,"False"
"DateModified","DATE",,,"False"
"UpdateMinMaxOnImport","BIT",,,"False"
"WebFeatured","BIT",,,"False"
"WebAccessory","BIT",,,"False"
"Width","NUMERIC",,,"False"
"Weight","NUMERIC",,,"False"
"Height","NUMERIC",,,"False"
"Length","NUMERIC",,,"False"
"AvalaraTaxCode","VARCHAR",,,"False"
"ABCRating","VARCHAR",,,"False"
"Active","BIT",,,"False"
"SaleEndDate","DATE",,,"False"
"WebMisc","BIT",,,"False"
"SalePrice","NUMERIC",,,"False"
"SaleStartDate","DATE",,,"False"
