"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"NotUpdateFullRvcdStatus","BIT",,,"False"
"DispatchMeStatusCode","VARCHAR",,,"False"
"MinCascadeToJobStatusCode","VARCHAR",,,"False"
"RequireMinimumDeposit","BIT",,,"False"
"EmailAttachInvoice","BIT",,,"False"
"AutoEmailTo","VARCHAR",,,"False"
"IncludeInOpenPartsList","BIT",,,"False"
"RequireItemModelMiscWtyLine","BIT",,,"False"
"MinDepositOverrideInvType","BIT",,,"False"
"Code","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"MinDepositPercent","NUMERIC",,,"False"
"SecurityLevel","INTEGER",,,"False"
"RequireAllSerialsReserved","BIT",,,"False"
"ReserveCascadeToJobStatusCode","VARCHAR",,,"False"
"UseInvTypeEmailFormat","BIT",,,"False"
"Obsolete","BIT",,,"False"
"NotDispatch","BIT",,,"False"
"ImmediateShip","BIT",,,"False"
"ShowInMobileTech","BIT",,,"False"
"ID","INTEGER",,,"False"
"UpdateHeader","BIT",,,"False"
"Cancelled","BIT",,,"False"
"UpdateInvfromMT","BIT",,,"False"
"ShowOnDistributorSite","BIT",,,"False"
"AutoEmail","BIT",,,"False"
"AutoEmailFormat","VARCHAR",,,"False"
"ServicePowerStatusCode","VARCHAR",,,"False"
"SamsungStatusCode","VARCHAR",,,"False"
"ServiceBenchStatusCode","VARCHAR",,,"False"
"ShowOnDealerSite","BIT",,,"False"
