"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"AvalaraTaxCode","VARCHAR",,,"False"
"LinqProductId","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"BrandCode","VARCHAR",,,"False"
"OverwriteLaborRateWhenZero","BIT",,,"False"
"AdditionalCode2","VARCHAR",,,"False"
"AdditionalCode1","VARCHAR",,,"False"
"Points","NUMERIC",,,"False"
"Cost","NUMERIC",,,"False"
"Tax3","BIT",,,"False"
"Tax2","BIT",,,"False"
"Warranty","BIT",,,"False"
"TripCharge","BIT",,,"False"
"Tax1","BIT",,,"False"
"Description","VARCHAR",,,"False"
"CommentCode","VARCHAR",,,"False"
"List","NUMERIC",,,"False"
"FlatRate","BIT",,,"False"
"AddBranchToGLCostDb","BIT",,,"False"
"AddBranchToGLCostCr","BIT",,,"False"
"ActualCost","NUMERIC",,,"False"
"StandardCost","NUMERIC",,,"False"
"AddBranchToGL","BIT",,,"False"
"GLCostCredit","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"GLRevenue","VARCHAR",,,"False"
"GLCostDebit","VARCHAR",,,"False"
"IgnoreTechActualCostPercent","BIT",,,"False"
"EDIFormat","VARCHAR",,,"False"
"AdditionalLineRequired","BIT",,,"False"
"Technician","VARCHAR",,,"False"
"PercentageOfAmount","BIT",,,"False"
"SigCommentCode","VARCHAR",,,"False"
"Obsolete","BIT",,,"False"
"NotAllowPriceChange","BIT",,,"False"
"NoPriceReduction","BIT",,,"False"
