"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"UnExclusiveResExcludeSpecial","BIT",,,"False"
"UnReserveInvoice","BIT",,,"False"
"UnExclusiveReserve","BIT",,,"False"
"NonSaleableExcludeSpecial","BIT",,,"False"
"ExclusiveReserveExcludeSpecial","BIT",,,"False"
"ShipToCustomerCode","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"ZeroUniquePriceExcludeSpecial","BIT",,,"False"
"UnReserveInvoiceExcludeSpecial","BIT",,,"False"
"ZeroUniquePrice","BIT",,,"False"
"AddForNewItems","BIT",,,"False"
"NonSaleable","BIT",,,"False"
"BranchCode","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"Description","VARCHAR",,,"False"
"SerialTypeCode","VARCHAR",,,"False"
"SerialTypeExcludeSpecial","BIT",,,"False"
"ReserveExclusive","BIT",,,"False"
"ShowOnWeb","BIT",,,"False"
"ImmediateShip","BIT",,,"False"
