"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"DefaultCallsMonday","INTEGER",,,"False"
"DefaultCallsSaturday","INTEGER",,,"False"
"DefaultCallsFriday","INTEGER",,,"False"
"LocationCode","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"DefaultCallsWednesday","INTEGER",,,"False"
"Description","VARCHAR",,,"False"
"DefaultCallsTuesday","INTEGER",,,"False"
"DefaultCallsSunday","INTEGER",,,"False"
"DefaultCallsThursday","INTEGER",,,"False"
"Wednesday","BIT",,,"False"
"Thursday","BIT",,,"False"
"Tuesday","BIT",,,"False"
"ID","INTEGER",,,"False"
"Monday","BIT",,,"False"
"TripChargeCode","VARCHAR",,,"False"
"DeliveryMiscCode","VARCHAR",,,"False"
"Sunday","BIT",,,"False"
"Friday","BIT",,,"False"
"Saturday","BIT",,,"False"
