"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"BrandCode","VARCHAR",,,"False"
"BinLocationCode","VARCHAR",,,"False"
"BeginYearQty","INTEGER",,,"False"
"CommentCode","VARCHAR",,,"False"
"Color","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"ExtraLinqIDs","VARCHAR",,,"False"
"AvalaraTaxCode","VARCHAR",,,"False"
"PODefaultSerialTypeCode","VARCHAR",,,"False"
"Barcode","VARCHAR",,,"False"
"AverageCost","NUMERIC",,,"False"
"Active","BIT",,,"False"
"Field3","VARCHAR",,,"False"
"Field2","VARCHAR",,,"False"
"Field1","VARCHAR",,,"False"
"InventoryTypeCode","VARCHAR",,,"False"
"Field5","VARCHAR",,,"False"
"Field4","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"DateModified","DATE",,,"False"
"DateCreated","DATE",,,"False"
"ExtWarrantyCode","VARCHAR",,,"False"
"Equivalent","VARCHAR",,,"False"
"EOQ","INTEGER",,,"False"
"DoNotService","BIT",,,"False"
"Weight","NUMERIC",,,"False"
"SaleEndDate2","DATE",,,"False"
"SaleStartDate2","DATE",,,"False"
"FeaturesCode","VARCHAR",,,"False"
"BeingDiscontinued","BIT",,,"False"
"LinqProductId","VARCHAR",,,"False"
"MasterPackQty","INTEGER",,,"False"
"Flooring","BIT",,,"False"
"NotUMRP","BIT",,,"False"
"SalePrice2","NUMERIC",,,"False"
"ActualSpiff","NUMERIC",,,"False"
"ABCRating","VARCHAR",,,"False"
"Labor4Code","VARCHAR",,,"False"
"Labor3Code","VARCHAR",,,"False"
"Labor2Code","VARCHAR",,,"False"
"DoNotDelete","BIT",,,"False"
"UpdateSalePricesOnImport","BIT",,,"False"
"Labor5Code","VARCHAR",,,"False"
"Labor3Prompt","BIT",,,"False"
"Labor2Prompt","BIT",,,"False"
"Labor1Prompt","BIT",,,"False"
"Labor1Code","VARCHAR",,,"False"
"Labor5Prompt","BIT",,,"False"
"Labor4Prompt","BIT",,,"False"
"Tax1","BIT",,,"False"
"SupplierCode","VARCHAR",,,"False"
"Substituted","BIT",,,"False"
"Tax1Percentage","NUMERIC",,,"False"
"Tax1Included","BIT",,,"False"
"Tax1CostList","VARCHAR",,,"False"
"SpiffEndDate","DATE",,,"False"
"Spiff","NUMERIC",,,"False"
"SKU","VARCHAR",,,"False"
"Stock","BIT",,,"False"
"StandardCost","NUMERIC",,,"False"
"SpiffStartDate","DATE",,,"False"
"TotalQOO","INTEGER",,,"False"
"TotalPrevLastYear","INTEGER",,,"False"
"TotalNotAvailable","INTEGER",,,"False"
"UserModified","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"TotalReserved","INTEGER",,,"False"
"TotalBooked","INTEGER",,,"False"
"Tax3","BIT",,,"False"
"Tax2","BIT",,,"False"
"TotalMin","INTEGER",,,"False"
"TotalMax","INTEGER",,,"False"
"TotalLastYear","INTEGER",,,"False"
"ResizePicture","BIT",,,"False"
"LocYTD","INTEGER",,,"False"
"LocQOH","INTEGER",,,"False"
"ListPrice","NUMERIC",,,"False"
"ManufacturersWarranty","INTEGER",,,"False"
"MainStockYTD","INTEGER",,,"False"
"MainStockQOH","INTEGER",,,"False"
"LastCost","NUMERIC",,,"False"
"LandingFactor","NUMERIC",,,"False"
"LandedCost","NUMERIC",,,"False"
"LastDateSold","DATE",,,"False"
"LastDateReceived","DATE",,,"False"
"LastDateOrdered","DATE",,,"False"
"PriceTag","VARCHAR",,,"False"
"Points","NUMERIC",,,"False"
"PicturePath","VARCHAR",,,"False"
"ReplacementCostEffectiveDate","DATE",,,"False"
"ReplacementCost","NUMERIC",,,"False"
"ProductCode","VARCHAR",,,"False"
"NewUsed","VARCHAR",,,"False"
"MiscCode","VARCHAR",,,"False"
"MfgReturned","INTEGER",,,"False"
"OriginalCost","NUMERIC",,,"False"
"Obsolete","BIT",,,"False"
"Note","VARCHAR",,,"False"
"Discount10","NUMERIC",,,"False"
"Warranty2","VARCHAR",,,"False"
"Warranty1","VARCHAR",,,"False"
"Dimension2","VARCHAR",,,"False"
"UpdateImportCost","BIT",,,"False"
"InstallationEstimate","NUMERIC",,,"False"
"PTDesc","VARCHAR",,,"False"
"Feature8","VARCHAR",,,"False"
"Feature7","VARCHAR",,,"False"
"Feature6","VARCHAR",,,"False"
"Dimension1","VARCHAR",,,"False"
"Feature10","VARCHAR",,,"False"
"Feature9","VARCHAR",,,"False"
"Misc4Prompt","BIT",,,"False"
"Misc3Prompt","BIT",,,"False"
"Misc2Prompt","BIT",,,"False"
"ExtWarranty2Prompt","BIT",,,"False"
"ExtWarrantyPrompt","BIT",,,"False"
"Misc5Prompt","BIT",,,"False"
"Misc3Code","VARCHAR",,,"False"
"Misc2Code","VARCHAR",,,"False"
"Dimension3","VARCHAR",,,"False"
"MiscPrompt","BIT",,,"False"
"Misc5Code","VARCHAR",,,"False"
"Misc4Code","VARCHAR",,,"False"
"Feature5","VARCHAR",,,"False"
"AllowSpecialOrder","BIT",,,"False"
"BarcodeSchema","VARCHAR",,,"False"
"Identifier","VARCHAR",,,"False"
"AllowPackageWty","BIT",,,"False"
"WarrantyTypeCode","VARCHAR",,,"False"
"UpdateImportPricing","BIT",,,"False"
"UPCBarcode","VARCHAR",,,"False"
"MfgBarcode","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"Link","VARCHAR",,,"False"
"PackageCode","VARCHAR",,,"False"
"RootModelCode","VARCHAR",,,"False"
"Feature1","VARCHAR",,,"False"
"SaleEndDate","DATE",,,"False"
"SaleStartDate","DATE",,,"False"
"Feature4","VARCHAR",,,"False"
"Feature3","VARCHAR",,,"False"
"Feature2","VARCHAR",,,"False"
"UnloadTime","NUMERIC",,,"False"
"Volume","NUMERIC",,,"False"
"ShippingMethodCode","VARCHAR",,,"False"
"SalePrice","NUMERIC",,,"False"
"ShipAnySerial","BIT",,,"False"
"AutoNumber","BIT",,,"False"
"Comment3Prompt","BIT",,,"False"
"Comment2Prompt","BIT",,,"False"
"CommentPrompt","BIT",,,"False"
"Comment2Code","VARCHAR",,,"False"
"Comment5Prompt","BIT",,,"False"
"Comment4Prompt","BIT",,,"False"
"ImmediateReservedDays","INTEGER",,,"False"
"Model5Code","VARCHAR",,,"False"
"Model4Code","VARCHAR",,,"False"
"Spiff2StartDate","DATE",,,"False"
"Spiff2EndDate","DATE",,,"False"
"Spiff2","NUMERIC",,,"False"
"Discount6","NUMERIC",,,"False"
"Discount5","NUMERIC",,,"False"
"Discount4","NUMERIC",,,"False"
"Discount9","NUMERIC",,,"False"
"Discount8","NUMERIC",,,"False"
"Discount7","NUMERIC",,,"False"
"Comment5Code","VARCHAR",,,"False"
"Comment4Code","VARCHAR",,,"False"
"Comment3Code","VARCHAR",,,"False"
"Discount3","NUMERIC",,,"False"
"Discount2","NUMERIC",,,"False"
"Discount1","NUMERIC",,,"False"
"Model3Code","VARCHAR",,,"False"
"Item2Prompt","BIT",,,"False"
"Item1Prompt","BIT",,,"False"
"ExtWarranty5Code","VARCHAR",,,"False"
"Item5Prompt","BIT",,,"False"
"Item4Prompt","BIT",,,"False"
"Item3Prompt","BIT",,,"False"
"ExtWarranty5Prompt","BIT",,,"False"
"ExtWarranty4Prompt","BIT",,,"False"
"ExtWarranty3Prompt","BIT",,,"False"
"ExtWarranty4Code","VARCHAR",,,"False"
"ExtWarranty3Code","VARCHAR",,,"False"
"ExtWarranty2Code","VARCHAR",,,"False"
"Model4Prompt","BIT",,,"False"
"Model3Prompt","BIT",,,"False"
"Model2Prompt","BIT",,,"False"
"Model2Code","VARCHAR",,,"False"
"Model1Code","VARCHAR",,,"False"
"Model5Prompt","BIT",,,"False"
"Item3Code","VARCHAR",,,"False"
"Item2Code","VARCHAR",,,"False"
"Item1Code","VARCHAR",,,"False"
"Model1Prompt","BIT",,,"False"
"Item5Code","VARCHAR",,,"False"
"Item4Code","VARCHAR",,,"False"
