"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"QOHEtaAdjusted","DATE",,,"False"
"QOHEta","DATE",,,"False"
"QOOAdjusted","VARCHAR",,,"False"
"QOOEta","DATE",,,"False"
"UpdatedDate","DATE",,,"False"
"EDIMappingCode","VARCHAR",,,"False"
"QOOEtaAdjusted","DATE",,,"False"
"WhsCode","VARCHAR",,,"False"
"SupplierCode","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"SKUCode","VARCHAR",,,"False"
"QOO","VARCHAR",,,"False"
"QOHAdjusted","VARCHAR",,,"False"
"QOH","VARCHAR",,,"False"
