"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"ShipToZipCode","VARCHAR",,,"False"
"SupplierAccountNumber","VARCHAR",,,"False"
"ShipToPhone2","VARCHAR",,,"False"
"ShipToState","VARCHAR",,,"False"
"SupplierCity","VARCHAR",,,"False"
"SupplierCode","VARCHAR",,,"False"
"SupplierAddress1","VARCHAR",,,"False"
"SupplierAddress2","VARCHAR",,,"False"
"ShipToAddress2","VARCHAR",,,"False"
"ShipToCity","VARCHAR",,,"False"
"FloorPlanDays","INTEGER",,,"False"
"ShipToAddress1","VARCHAR",,,"False"
"ShipToNotes","VARCHAR",,,"False"
"ShipToPhone1","VARCHAR",,,"False"
"ShipToCode","VARCHAR",,,"False"
"ShipToName","VARCHAR",,,"False"
"SupplierContact1","VARCHAR",,,"False"
"SupplierWebsite","VARCHAR",,,"False"
"SupplierZipCode","VARCHAR",,,"False"
"SupplierShipVia","VARCHAR",,,"False"
"SupplierState","VARCHAR",,,"False"
"TotalReceived","NUMERIC",,,"False"
"UserConfirmed","VARCHAR",,,"False"
"TotalCosted","NUMERIC",,,"False"
"TotalOrdered","NUMERIC",,,"False"
"SupplierDescription","VARCHAR",,,"False"
"SupplierEmail","VARCHAR",,,"False"
"SupplierContact2","VARCHAR",,,"False"
"SupplierCustomerServicePhone","VARCHAR",,,"False"
"SupplierPhone1","VARCHAR",,,"False"
"SupplierPhone2","VARCHAR",,,"False"
"SupplierFax","VARCHAR",,,"False"
"SupplierPONotes","VARCHAR",,,"False"
"Authorized","VARCHAR",,,"False"
"DateAuthorized","DATE",,,"False"
"DateCreated","DATE",,,"False"
"UserCreated","VARCHAR",,,"False"
"DateConfirmedReceived","DATE",,,"False"
"UserReceived","VARCHAR",,,"False"
"UserAuthorized","VARCHAR",,,"False"
"Received","VARCHAR",,,"False"
"ShipToType","VARCHAR",,,"False"
"SerialTypeCode","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"FloorPlan","VARCHAR",,,"False"
"DateEffective","DATE",,,"False"
"Unreleased","BIT",,,"False"
"ReceiveToLocation","BIT",,,"False"
"ReceiveToLocationCode","VARCHAR",,,"False"
"Paid","VARCHAR",,,"False"
"DateConfirmed","DATE",,,"False"
"DateCosted","DATE",,,"False"
"Confirmed","VARCHAR",,,"False"
"CostFactor","NUMERIC",,,"False"
"DateReceived","DATE",,,"False"
"DateStarted","DATE",,,"False"
"DateFinished","DATE",,,"False"
"DateOrdered","DATE",,,"False"
"EDISentDate","DATE",,,"False"
"EDISentTime","VARCHAR",,,"False"
"DatePaid","DATE",,,"False"
"UserPaid","VARCHAR",,,"False"
"Buyer","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"RequestedDeliveryDate","DATE",,,"False"
"AllowBOInvoice","BIT",,,"False"
