"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"POCode","VARCHAR",,,"False"
"PackingSlipNumber","VARCHAR",,,"False"
"QtyOrdered","INTEGER",,,"False"
"Ordered","BIT",,,"False"
"ItemCode","VARCHAR",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"QtyPrevReceived","INTEGER",,,"False"
"Reference","VARCHAR",,,"False"
"SupplierInvoice","VARCHAR",,,"False"
"UnitCost","NUMERIC",,,"False"
"Received","BIT",,,"False"
"QtyReceived","INTEGER",,,"False"
"QtySuggested","INTEGER",,,"False"
"QuotedCost","NUMERIC",,,"False"
"AutoRecalcList","BIT",,,"False"
"BackOrderInvoiceCode","VARCHAR",,,"False"
"BackOrderInvoiceDateStamp","DATE",,,"False"
"FreightInvoiceNumber","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"OriginalCost","NUMERIC",,,"False"
"FreightAmount","NUMERIC",,,"False"
"BackOrderInvoiceLineTimeStamp","VARCHAR",,,"False"
"ETADate","DATE",,,"False"
"ExtendedFactoredCost","NUMERIC",,,"False"
"ExtendedUnitCost","NUMERIC",,,"False"
"DateStamp","DATE",,,"False"
"CostFactor","NUMERIC",,,"False"
"Costed","BIT",,,"False"
"DateReceived","DATE",,,"False"
