"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"BackOrderInvoiceLineTimeStamp","VARCHAR",,,"False"
"CostFactor","NUMERIC",,,"False"
"BackOrderInvoiceCode","VARCHAR",,,"False"
"BackOrderInvoiceDateStamp","DATE",,,"False"
"DateStamp","DATE",,,"False"
"ETADate","DATE",,,"False"
"Costed","BIT",,,"False"
"DateReceived","DATE",,,"False"
"RSDConfirmed","BIT",,,"False"
"ETADateMostUpdated","DATE",,,"False"
"EDISentDate","DATE",,,"False"
"Unreleased","BIT",,,"False"
"RequestedDeliveryDate","DATE",,,"False"
"FeaturesCode","VARCHAR",,,"False"
"Features","VARCHAR",,,"False"
"EDISentTime","VARCHAR",,,"False"
"RSDMostUpdated","DATE",,,"False"
"QtySuggested","INTEGER",,,"False"
"QuotedCost","NUMERIC",,,"False"
"QtyPrevReceived","INTEGER",,,"False"
"QtyReceived","INTEGER",,,"False"
"SupplierInvoice","VARCHAR",,,"False"
"UnitCost","NUMERIC",,,"False"
"Received","BIT",,,"False"
"Reference","VARCHAR",,,"False"
"QtyOrdered","INTEGER",,,"False"
"LineTimeStamp","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"ExtendedFactoredCost","NUMERIC",,,"False"
"ExtendedUnitCost","NUMERIC",,,"False"
"POCode","VARCHAR",,,"False"
"PackingSlipNumber","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"Ordered","BIT",,,"False"
"Discount10Rate","NUMERIC",,,"False"
"Discount7","NUMERIC",,,"False"
"Discount8","NUMERIC",,,"False"
"Discount5","NUMERIC",,,"False"
"Discount6","NUMERIC",,,"False"
"Discount1Method","VARCHAR",,,"False"
"Discount2Method","VARCHAR",,,"False"
"Discount9","NUMERIC",,,"False"
"Discount10","NUMERIC",,,"False"
"Discount4","NUMERIC",,,"False"
"OrderExclusive","BIT",,,"False"
"SerialTypeCode","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"StandardCost","NUMERIC",,,"False"
"Discount2","NUMERIC",,,"False"
"Discount3","NUMERIC",,,"False"
"ReceiveToLocation","BIT",,,"False"
"Discount1","NUMERIC",,,"False"
"Discount4Rate","NUMERIC",,,"False"
"Discount5Rate","NUMERIC",,,"False"
"Discount2Rate","NUMERIC",,,"False"
"Discount3Rate","NUMERIC",,,"False"
"Discount8Rate","NUMERIC",,,"False"
"Discount9Rate","NUMERIC",,,"False"
"Discount6Rate","NUMERIC",,,"False"
"Discount7Rate","NUMERIC",,,"False"
"Discount1Rate","NUMERIC",,,"False"
"Discount5Method","VARCHAR",,,"False"
"Discount6Method","VARCHAR",,,"False"
"Discount3Method","VARCHAR",,,"False"
"Discount4Method","VARCHAR",,,"False"
"Discount9Method","VARCHAR",,,"False"
"Discount10Method","VARCHAR",,,"False"
"Discount7Method","VARCHAR",,,"False"
"Discount8Method","VARCHAR",,,"False"
