"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"Cost","NUMERIC",,,"False"
"BinLocationCode","VARCHAR",,,"False"
"Available","BIT",,,"False"
"Costed","BIT",,,"False"
"FloorPlan","VARCHAR",,,"False"
"Features","VARCHAR",,,"False"
"DateReceived","DATE",,,"False"
"Discount7Rate","NUMERIC",,,"False"
"Discount6Rate","NUMERIC",,,"False"
"Discount5Rate","NUMERIC",,,"False"
"Discount8Rate","NUMERIC",,,"False"
"DyeLot","VARCHAR",,,"False"
"Discount10Rate","NUMERIC",,,"False"
"Discount9Rate","NUMERIC",,,"False"
"RunNumber","VARCHAR",,,"False"
"Returned","BIT",,,"False"
"Received","BIT",,,"False"
"SerialCode","VARCHAR",,,"False"
"TrustDocumentLine","INTEGER",,,"False"
"TrustDocument","VARCHAR",,,"False"
"SupplierInvoice","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"FloorPlanDueDate","DATE",,,"False"
"ModelDateStamp","DATE",,,"False"
"POCode","VARCHAR",,,"False"
"Ordered","BIT",,,"False"
"ModelLineTimeStamp","VARCHAR",,,"False"
"Discount4Rate","NUMERIC",,,"False"
"Discount5","NUMERIC",,,"False"
"Discount4","NUMERIC",,,"False"
"Discount3","NUMERIC",,,"False"
"Discount6","NUMERIC",,,"False"
"Discount9","NUMERIC",,,"False"
"Discount8","NUMERIC",,,"False"
"Discount7","NUMERIC",,,"False"
"FreightAmount","NUMERIC",,,"False"
"OriginalCost","NUMERIC",,,"False"
"ID","INTEGER",,,"False"
"FreightInvoiceNumber","VARCHAR",,,"False"
"Discount2","NUMERIC",,,"False"
"Discount1","NUMERIC",,,"False"
"SerialTypeCode","VARCHAR",,,"False"
"Discount9Method","VARCHAR",,,"False"
"Discount8Method","VARCHAR",,,"False"
"Discount7Method","VARCHAR",,,"False"
"Discount10Method","VARCHAR",,,"False"
"Discount3Rate","NUMERIC",,,"False"
"Discount2Rate","NUMERIC",,,"False"
"Discount1Rate","NUMERIC",,,"False"
"Discount2Method","VARCHAR",,,"False"
"Discount1Method","VARCHAR",,,"False"
"Discount10","NUMERIC",,,"False"
"Discount3Method","VARCHAR",,,"False"
"Discount6Method","VARCHAR",,,"False"
"Discount5Method","VARCHAR",,,"False"
"Discount4Method","VARCHAR",,,"False"
