"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"SamsungProduct","VARCHAR",,,"False"
"ServicePowerProduct","VARCHAR",,,"False"
"UserCode","VARCHAR",,,"False"
"Points","INTEGER",,,"False"
"ShowOnSvcReq","BIT",,,"False"
"SBProduct","VARCHAR",,,"False"
"SafetyWeeksD","NUMERIC",,,"False"
"DispatchMeProduct","VARCHAR",,,"False"
"AvalaraTaxCode","VARCHAR",,,"False"
"SafetyWeeksA","NUMERIC",,,"False"
"SafetyWeeksB","NUMERIC",,,"False"
"SafetyWeeksC","NUMERIC",,,"False"
"PromptCode","VARCHAR",,,"False"
"Qualification","VARCHAR",,,"False"
"WarrantyCategory","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"Code","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"ShowItemInventory","BIT",,,"False"
"ShowInvoicing","BIT",,,"False"
"ProductMinorCode","VARCHAR",,,"False"
"InstallationEstimate","NUMERIC",,,"False"
"InstallationNotes","VARCHAR",,,"False"
"ShowSerialInventory","BIT",,,"False"
