"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"DestinationCodeThu","VARCHAR",,,"False"
"DestinationCodeFri","VARCHAR",,,"False"
"DestinationCodeSat","VARCHAR",,,"False"
"DestinationCodeMon","VARCHAR",,,"False"
"DestinationCodeTue","VARCHAR",,,"False"
"DestinationCodeWed","VARCHAR",,,"False"
"PictureEmail","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"DestinationCodeSun","VARCHAR",,,"False"
"CellPhone","VARCHAR",,,"False"
"Picture","VARCHAR",,,"False"
"StartTime","VARCHAR",,,"False"
"RouteSheet","VARCHAR",,,"False"
"Email","VARCHAR",,,"False"
"Address1","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"TechnicianCode","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"ZipCode","VARCHAR",,,"False"
"Phone1","VARCHAR",,,"False"
"Phone2","VARCHAR",,,"False"
"Address2","VARCHAR",,,"False"
"City","VARCHAR",,,"False"
"State","VARCHAR",,,"False"
