"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"Discount7Rate","NUMERIC",,,"False"
"Discount8Rate","NUMERIC",,,"False"
"Discount5Rate","NUMERIC",,,"False"
"Discount6Rate","NUMERIC",,,"False"
"Discount9Rate","NUMERIC",,,"False"
"DyeLot","VARCHAR",,,"False"
"DoNotService","BIT",,,"False"
"Discount10Rate","NUMERIC",,,"False"
"SupplierCode","VARCHAR",,,"False"
"Discount8Method","VARCHAR",,,"False"
"Discount9Method","VARCHAR",,,"False"
"Discount6Method","VARCHAR",,,"False"
"Discount7Method","VARCHAR",,,"False"
"Discount10Method","VARCHAR",,,"False"
"Discount3Rate","NUMERIC",,,"False"
"Discount4Rate","NUMERIC",,,"False"
"Discount1Rate","NUMERIC",,,"False"
"Discount2Rate","NUMERIC",,,"False"
"Available","BIT",,,"False"
"ModelCode","VARCHAR",,,"False"
"POCode","VARCHAR",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"RunNumber","VARCHAR",,,"False"
"TrustDocument","VARCHAR",,,"False"
"TrustDocumentLine","INTEGER",,,"False"
"Status","VARCHAR",,,"False"
"SupplierInvoice","VARCHAR",,,"False"
"Cost","NUMERIC",,,"False"
"DateReceived","DATE",,,"False"
"BinLocationCode","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"Features","VARCHAR",,,"False"
"InvLineDateStamp","DATE",,,"False"
"InvLineTimeStamp","VARCHAR",,,"False"
"FloorPlan","VARCHAR",,,"False"
"FloorPlanDueDate","DATE",,,"False"
"Discount5Method","VARCHAR",,,"False"
"Notes","VARCHAR",,,"False"
"OriginalCost","NUMERIC",,,"False"
"PODateStamp","DATE",,,"False"
"DateReserved","DATE",,,"False"
"FreightAmount","NUMERIC",,,"False"
"PicturePath","VARCHAR",,,"False"
"StandardCost","NUMERIC",,,"False"
"FreightInvoiceNumber","VARCHAR",,,"False"
"ResizePicture","BIT",,,"False"
"OrderedForInvoiceCode","VARCHAR",,,"False"
"OrderedForInvoiceDateStamp","DATE",,,"False"
"ID","INTEGER",,,"False"
"RawBarcode","VARCHAR",,,"False"
"OrderedForInvoiceTimeStamp","VARCHAR",,,"False"
"SpiffStartDate","DATE",,,"False"
"POLineTimeStamp","VARCHAR",,,"False"
"Spiff","NUMERIC",,,"False"
"SpiffEndDate","DATE",,,"False"
"ReserveExclusive","BIT",,,"False"
"Discount10","NUMERIC",,,"False"
"ReserveExclusiveCommentCode","VARCHAR",,,"False"
"Discount8","NUMERIC",,,"False"
"Discount9","NUMERIC",,,"False"
"TagPrice","NUMERIC",,,"False"
"Discount3Method","VARCHAR",,,"False"
"Discount4Method","VARCHAR",,,"False"
"Discount1Method","VARCHAR",,,"False"
"Discount2Method","VARCHAR",,,"False"
"Discount1","NUMERIC",,,"False"
"Discount2","NUMERIC",,,"False"
"SerialTypeCode","VARCHAR",,,"False"
"UniqueSellPrice","NUMERIC",,,"False"
"Discount3","NUMERIC",,,"False"
"Discount6","NUMERIC",,,"False"
"Discount7","NUMERIC",,,"False"
"Discount4","NUMERIC",,,"False"
"Discount5","NUMERIC",,,"False"
