"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"Rental","BIT",,,"False"
"Returned","BIT",,,"False"
"Salesperson1Code","VARCHAR",,,"False"
"ProductCode","VARCHAR",,,"False"
"LocationCode","VARCHAR",,,"False"
"ModelCode","VARCHAR",,,"False"
"NewUsed","VARCHAR",,,"False"
"Salesperson2Code","VARCHAR",,,"False"
"TrustDocument","VARCHAR",,,"False"
"TrustDocumentLine","INTEGER",,,"False"
"UserModified","VARCHAR",,,"False"
"SupplierInvoice","VARCHAR",,,"False"
"SellingPrice","NUMERIC",,,"False"
"SerialCode","VARCHAR",,,"False"
"SoldToCode","VARCHAR",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"SupplierCode","VARCHAR",,,"False"
"BrandCode","VARCHAR",,,"False"
"Cost","NUMERIC",,,"False"
"FreightInvoiceNumber","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"OriginalCost","NUMERIC",,,"False"
"FreightAmount","NUMERIC",,,"False"
"DateModified","DATE",,,"False"
"FloorPlanDueDate","DATE",,,"False"
"InvLineDateStamp","DATE",,,"False"
"InvLineTimeStamp","VARCHAR",,,"False"
"FloorPlan","VARCHAR",,,"False"
"DateReceived","DATE",,,"False"
"DateSold","DATE",,,"False"
"DeliveryDate","DATE",,,"False"
