"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"GLCostDebit","VARCHAR",,,"False"
"GLRevenue","VARCHAR",,,"False"
"SpecialSerialType","BIT",,,"False"
"GLCostCredit","VARCHAR",,,"False"
"AddBranchToGLCostCr","BIT",,,"False"
"AddBranchToGLCostDb","BIT",,,"False"
"AddBranchToGL","BIT",,,"False"
"ReserveExclusiveCommentCode","VARCHAR",,,"False"
"Description","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"AllowSellExclusiveBelowUMRP","BIT",,,"False"
"InventoryDivisionCode","VARCHAR",,,"False"
"PromptforLocExclusiveReserve","BIT",,,"False"
"ImmediateShip","BIT",,,"False"
