"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"EmailErrorSent","BIT",,,"False"
"EmailTimeSent","VARCHAR",,,"False"
"EmailDateSent","DATE",,,"False"
"SRUserID","VARCHAR",,,"False"
"SRAccountID","VARCHAR",,,"False"
"DealerEmail","VARCHAR",,,"False"
"DealerDesc","VARCHAR",,,"False"
"DealerCode","VARCHAR",,,"False"
"CancelReason","VARCHAR",,,"False"
"SendEmailConfirmation","BIT",,,"False"
"SBProductRowNumber","INTEGER",,,"False"
"SBJobID","VARCHAR",,,"False"
"TState","VARCHAR",,,"False"
"TCity","VARCHAR",,,"False"
"TAddress2","VARCHAR",,,"False"
"SMTPBranchCode","VARCHAR",,,"False"
"TEmail","VARCHAR",,,"False"
"TZip","VARCHAR",,,"False"
"TLastName","VARCHAR",,,"False"
"TFirstName","VARCHAR",,,"False"
"Phone1TextEnabled","BIT",,,"False"
"TAddress1","VARCHAR",,,"False"
"TPhone2","VARCHAR",,,"False"
"TPhone1","VARCHAR",,,"False"
"Zip","VARCHAR",,,"False"
"State","VARCHAR",,,"False"
"City","VARCHAR",,,"False"
"Product","VARCHAR",,,"False"
"Brand","VARCHAR",,,"False"
"Email","VARCHAR",,,"False"
"Phone1","VARCHAR",,,"False"
"LastName","VARCHAR",,,"False"
"FirstName","VARCHAR",,,"False"
"Address2","VARCHAR",,,"False"
"Address1","VARCHAR",,,"False"
"Phone2","VARCHAR",,,"False"
"IPRequested","VARCHAR",,,"False"
"TimeRequested","VARCHAR",,,"False"
"DateRequested","DATE",,,"False"
"RequestTime","VARCHAR",,,"False"
"RequestDate","DATE",,,"False"
"InvoiceCode","VARCHAR",,,"False"
"DatePurchased","DATE",,,"False"
"Serial","VARCHAR",,,"False"
"Model","VARCHAR",,,"False"
"Source","VARCHAR",,,"False"
"Status","VARCHAR",,,"False"
"Complaint","VARCHAR",,,"False"
