"COLUMN_NAME","TYPE_NAME","COLUMN_SIZE","ORDINAL_POSITION","Denied"
"Email","VARCHAR",,,"False"
"Fax","VARCHAR",,,"False"
"Field1","VARCHAR",,,"False"
"DiscountPercentage","NUMERIC",,,"False"
"DueDateTerms","VARCHAR",,,"False"
"DueDays","INTEGER",,,"False"
"Field5","VARCHAR",,,"False"
"FreightGLAccount","VARCHAR",,,"False"
"GSTCharged","BIT",,,"False"
"Field2","VARCHAR",,,"False"
"Field3","VARCHAR",,,"False"
"Field4","VARCHAR",,,"False"
"Contact1","VARCHAR",,,"False"
"Contact2","VARCHAR",,,"False"
"CustomerServicePhone","VARCHAR",,,"False"
"BillToSupplierCode","VARCHAR",,,"False"
"City","VARCHAR",,,"False"
"Code","VARCHAR",,,"False"
"DiscountDateTerms","VARCHAR",,,"False"
"DiscountDays","INTEGER",,,"False"
"DiscountGLAccount","VARCHAR",,,"False"
"DateCreated","DATE",,,"False"
"DateModified","DATE",,,"False"
"Description","VARCHAR",,,"False"
"InventorySupplier","BIT",,,"False"
"PurchaseGLAccount","VARCHAR",,,"False"
"State","VARCHAR",,,"False"
"SupplierTypeCode","VARCHAR",,,"False"
"Phone2","VARCHAR",,,"False"
"PrevLastYearPurchase","NUMERIC",,,"False"
"PrintAccountOnCheck","BIT",,,"False"
"Website","VARCHAR",,,"False"
"YTDPurchase","NUMERIC",,,"False"
"ZipCode","VARCHAR",,,"False"
"TINNumber","VARCHAR",,,"False"
"UserCreated","VARCHAR",,,"False"
"UserModified","VARCHAR",,,"False"
"POCostFactor","NUMERIC",,,"False"
"POFloorPlanDays","INTEGER",,,"False"
"POLineType","VARCHAR",,,"False"
"LastYearPurchase","NUMERIC",,,"False"
"Note","VARCHAR",,,"False"
"NoteToPO","BIT",,,"False"
"POShipVia","VARCHAR",,,"False"
"POUpdateAP","BIT",,,"False"
"Phone1","VARCHAR",,,"False"
"POMinOrder","NUMERIC",,,"False"
"PONote","VARCHAR",,,"False"
"POPrintISE","VARCHAR",,,"False"
"EFTBranch","VARCHAR",,,"False"
"EFTBankAccount","VARCHAR",,,"True"
"EFTContactName","VARCHAR",,,"False"
"CRDueDateTerms","VARCHAR",,,"False"
"CRDueDays","INTEGER",,,"False"
"EFTBankingInstitution","VARCHAR",,,"False"
"EFTEmail","VARCHAR",,,"False"
"EDIFormat","VARCHAR",,,"False"
"DefaultPOCost","VARCHAR",,,"False"
"EFTContactPhone","VARCHAR",,,"False"
"EFTContactExtension","VARCHAR",,,"False"
"EFTContactFax","VARCHAR",,,"False"
"ETADays","INTEGER",,,"False"
"BranchCode","VARCHAR",,,"False"
"Memo","VARCHAR",,,"False"
"ID","INTEGER",,,"False"
"AdditionalBillTo","VARCHAR",,,"False"
"FloorPlanning","VARCHAR",,,"False"
"Branch","VARCHAR",,,"False"
"ImmediateReservedDays","INTEGER",,,"False"
"CreditGLAccount","VARCHAR",,,"False"
"BankAccount","VARCHAR",,,"True"
"DefaultPONumber","VARCHAR",,,"False"
"DefaultLocation","VARCHAR",,,"False"
"AvgLeadTime","INTEGER",,,"False"
"ReceivingThursday","BIT",,,"False"
"ReceivingFriday","BIT",,,"False"
"ReceivingSaturday","BIT",,,"False"
"ReceivingMonday","BIT",,,"False"
"ReceivingTuesday","BIT",,,"False"
"ReceivingWednesday","BIT",,,"False"
"AccountNumber","VARCHAR",,,"False"
"Address1","VARCHAR",,,"False"
"Address2","VARCHAR",,,"False"
"RDDAdjustDays","INTEGER",,,"False"
"RDDSkipHolidays","BIT",,,"False"
"RDDUsePreviousIfHoliday","VARCHAR",,,"False"
"UseDueDateForSplitPayments","BIT",,,"False"
"AutoCreateAPInvoiceCosting","BIT",,,"False"
"EDIOutFolder","VARCHAR",,,"False"
"Obsolete","BIT",,,"False"
"DefaultCostCenter","VARCHAR",,,"False"
"Require1099","BIT",,,"False"
"NameForChecks","VARCHAR",,,"False"
"EDI860OutFolder","VARCHAR",,,"False"
"ReceivingSunday","BIT",,,"False"
"DeliveryDateRequired","BIT",,,"False"
"UseRDDFrom","VARCHAR",,,"False"
"UseDiscFromOrigSupplier","BIT",,,"False"
