"ID","Code","Description","MarkupCodeForItem","MarkupCodeForSerial","ServiceCenterNumber","MfgCode","BarCodeLeadingCharItem","BarCodeLeadingCharModel","BarCodeLeadingCharSerial","BarcodeSchema","Qualification","UMRPPricing","RebatePercentage","OEM","MfgWtyMonths","ItemCommentCode","ModelCommentCode","ShowOnSvcReq","SBBrand","RetailDeckBrand","SamsungBrand","ServicePowerBrand","ImmediateReservedDays","UserCode","MinimumSellingPrice","RequiresSpecialAuth","DispatchMeBrand","DisableMPHDiagnosticsExport","BrandSourceLinqBrand","SupplierCode","EnableWtyExpiration","WtyExpirationMonths"
"2","WOLF","WOLF","2","3","WILSON AC & APPLIANCE","","0.0000","0","0","","","True","0.0000","","24","","","True","","WOLF","","","0","","SZ-PROBLDR","False","","False","","","False","0"
"3","SZ","SUBZERO","2","3","WILSON AC & APPLIANCE","","0.0000","0","0","","","True","0.0000","","24","","","True","","SUBZ","","","0","","SZ-PROBLDR","False","","False","","","False","0"
"4","MGRAM","MONOGRAM","2","UMRP","WILSON AC & APPLIANCE","I404","0.0000","0","0","GE","","True","0.0000","GE","12","","","True","","MONOGRAM","","","0","","","False","","False","","","False","0"
"5","GE","GE","2","L5","WILSON AC & APPLIANCE","I404","0.0000","0","0","GE","","False","0.0000","GE","12","","","True","","GE","","","0","","","False","","False","","","False","0"
"6","PROF","GE PROFILE","2","KA","WILSON AC & APPLIANCE","I404","0.0000","0","0","GE","","False","0.0000","GE","12","","","True","","GE","","","0","","","False","","False","","","False","0"
"7","MIELE","MIELE","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","MIELE","","True","0.0000","","12","","","True","","MIE","","","0","","","False","","False","","","False","0"
"8","BEST","BEST","2","7","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"9","BOSCH","BOSCH","2","L5","WILSON AC & APPLIANCE","I600","0.0000","0","0","BSH","","False","0.0000","BSH","12","","","True","","BOSCH","","","0","","","False","","False","","","False","0"
"10","THERM","THERMADOR","2","3","WILSON AC & APPLIANCE","I600","0.0000","0","0","BSH","","True","0.0000","BSH","12","","","True","","THE","","","0","","","False","","False","","","False","0"
"11","GAGGE","GAGGENAU","2","8","WILSON AC & APPLIANCE","I600","0.0000","0","0","BSH","","True","0.0000","BSH","12","","","True","","","","","0","","","False","","False","","","False","0"
"12","WP","WHIRLPOOL","2","L5","69066","","0.0000","0","0","KA","","False","0.0000","WP","12","","","True","","WHIRL","","","0","","","False","","False","","","False","0"
"13","KA","KITCHENAID","2","KA","69066","","0.0000","0","0","KA","","False","0.0000","WP","12","","","True","","KTA","","","0","","","False","","False","","","False","0"
"14","GLAD","GLADIATOR","2","L5","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"15","VAH","VENTAHOOD","2","UMRP","WILSON AC & APPLIANCE","","0.0000","0","0","","","True","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"16","IMPER","IMPERIAL","2","5","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"17","WMODE","WOODMODE","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"18","BROOK","BROOKHAVEN","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"19","CWP","CWP","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"20","TRANE","TRANE","2","L3","WILSON AC & APPLIANCE","","0.0000","0","0","TRANE","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"21","RUUD","RUUD","2","L3","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"22","CARR","CARRIER","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"23","HAFEL","HAFELE","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"24","REEF","PELICAN REEF","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"26","MTAG","MAYTAG","2","L5","WILSON AC & APPLIANCE","","0.0000","0","0","MAY","","False","0.0000","WP","12","","","True","","MAY","","","0","","","False","","False","","","False","0"
"27","TKNOB","TOP KNOBS","2","1","NA","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"28","FTECH","FANTECH","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"29","CAIR","COMFORT-AIRE","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"31","SHILO","SHILOH","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"32","FORGE","CHARLESTON FORGE","2","1","NA","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"33","JBISH","JIM BISHOP","2","1","WILSON AC & APPLIANCE","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"34","HP","HOTPOINT","2","L5","","I404","0.0000","0","0","GE","","False","0.0000","GE","12","","","True","","HOT","","","0","","","False","","False","","","False","0"
"35","BROAN","BROAN","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"36","ESTAT","ESTATE","2","L1","","","0.0000","0","0","KA","","False","0.0000","WP","12","","","True","","","","","0","","","False","","False","","","False","0"
"37","ARIST","ARISTON","2","L1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"38","JA","JENN-AIR","2","1","","","0.0000","0","0","JA","","True","0.0000","WP","12","","","True","","JEN","","","0","","","False","","False","","","False","0"
"39","FRIG","FRIGIDAIRE","2","L1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"40","ADM","ADMIRAL","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"41","ULINE","ULINE","2","1","APD","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"42","AMANA","AMANA","2","L5","","","0.0000","0","0","WP","","False","0.0000","WP","12","","","True","","AMN","","","0","","","False","","False","","","False","0"
"43","ASKO","ASKO","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"44","MAXIT","HVAC PARTS","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"45","FASCO","FASCO","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"46","EURO","EUROTECH","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"47","VIKIN","VIKING","2","1","","","0.0000","0","0","","","True","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"48","RHEEM","RHEEM","2","5","","","0.0000","0","0","","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"49","DACOR","DACOR","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"50","MAGIC","MAGIC CHEF","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","True","","","","","0","","","False","","False","","","False","0"
"51","MARVE","MARVEL","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","MILESTONE","False","0"
"52","BRYAN","BRYANT","2","1","ROBERT MADDEN","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"53","AIRE","APRILAIRE","2","5","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"54","FRIED","FRIEDRICH","2","4","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"55","SHARP","SHARP","2","L1","","","0.0000","0","0","","","False","0.0000","","12","","*1.21","False","","","","","0","","","False","","False","","","False","0"
"56","JAN","JANITROL-GOODMAN","2","1","","","0.0000","0","0","","","False","0.0000","","12","","","False","","","","","0","","","False","","False","","","False","0"
"57","SCOT","SCOTSMAN","2","3","","","0.0000","0","0","","","True","0.0000","","12","","","True","","SCO","","","0","","","False","","False","","","False","0"
