"ID","UpdateHeader","Cancelled","ShowInMobileTech","Obsolete","NotDispatch","ImmediateShip","UpdateInvfromMT","SamsungStatusCode","ServiceBenchStatusCode","ShowOnDealerSite","ServicePowerStatusCode","ShowOnDistributorSite","AutoEmail","AutoEmailFormat","UseInvTypeEmailFormat","EmailAttachInvoice","AutoEmailTo","IncludeInOpenPartsList","RequireMinimumDeposit","NotUpdateFullRvcdStatus","DispatchMeStatusCode","MinCascadeToJobStatusCode","RequireItemModelMiscWtyLine","SecurityLevel","RequireAllSerialsReserved","ReserveCascadeToJobStatusCode","MinDepositPercent","MinDepositOverrideInvType","Code","Description"
"16","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","QUOTE 1","Quoted (Follow Up Call)"
"17","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","QUOTE 2","Quoted  (No follow up)"
"29","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","PEX","Product Exchange"
"30","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO1","Service Scheduled"
"31","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO2","Unverified Quote"
"32","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO3","Repair Approved - Order Parts"
"33","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO4","Awaiting Ordered Parts"
"37","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO8","Service Completed"
"38","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI1","I/S Awaiting Diagnosis"
"39","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI2","I/S Awaiting Customer Approval"
