"JobStatusCode","Department"
"D6","DELIVERY"
"D-RESEARCH","DELIVERY"
"GE FACTORY","ALL"
"SI1","Service"
"SO3","Service"
"SO4","Service"
"SO5","Service"
"SO6","Service"
"SO9","Service"
"SO8","Service"
"WAR1","Service"
"WAR2","Service"
"WAR3","Service"
"WAR4.1","ALL"
"WAR5","Service"
"WAR6","Service"
"WARPART","Service"
"WARPARTORDERED","Service"
"WARPROBLEM","Service"
"WARTRANE","Service"
"D5","DELIVERY"
"QUOTE 1","DELIVERY"
"QUOTE 2","DELIVERY"
"QUOTE 3","Service"
"CPU","ALL"
"CPU1","ALL"
"CPU2","ALL"
"CPU3","ALL"
"CPU4","ALL"
"SI3","Service"
"SI4","Service"
"SI5","Service"
"SI6","Service"
"SI7","Service"
"SI8","Service"
"SI9","Service"
"SO1","Service"
"PEX","ALL"
"SI2","Service"
"LNR","DELIVERY"
"SI-TEST","Service"
"CPU5","ALL"
"D3-PRE","DELIVERY"
"MOD3","DELIVERY"
"MOD2","DELIVERY"
"MOD1","DELIVERY"
"MOD4","DELIVERY"
"MOD5","DELIVERY"
"SO7","Service"
"SO4B","Service"
"SO2.1","Service"
"SO2.2","ALL"
"SO2","Service"
"D1T","DELIVERY"
"D4T","DELIVERY"
"D2T","DELIVERY"
"SO3PRE","Service"
"SO4PRE","Service"
"SO4H","Service"
"SO1.AUTH","Service"
"WARADMIN","Service"
"D1","DELIVERY"
"D1","ACPACKAGE"
"D1","CABINETS"
"D2","DELIVERY"
"D2","ACPACKAGE"
"D2","CABINETS"
"D2R","DELIVERY"
"D2R","ACPACKAGE"
"D2R","CABINETS"
"D3","DELIVERY"
"D3","ACPACKAGE"
"D3","CABINETS"
"D4","DELIVERY"
"D4","ACPACKAGE"
"D4","CABINETS"
"D7","DELIVERY"
"D7","ACPACKAGE"
"D7","CABINETS"
"D8","DELIVERY"
"D8","ACPACKAGE"
"D8","CABINETS"
"SO8I","Service"
"WAR4","Service"
