"ID","GLCostCredit","GLCostDebit","GLRevenue","AddBranchToGL","AddBranchToGLCostCr","AddBranchToGLCostDb","StandardCost","ActualCost","Obsolete","SigCommentCode","NoPriceReduction","NotAllowPriceChange","PercentageOfAmount","EDIFormat","IgnoreTechActualCostPercent","Technician","AdditionalLineRequired","AdditionalCode1","AdditionalCode2","Cost","Points","OverwriteLaborRateWhenZero","LinqProductId","AvalaraTaxCode","BrandCode","Code","CommentCode","Description","FlatRate","List","Tax1","Tax2","Tax3","TripCharge","Warranty"
"34118","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABN01","","Labor","True","5366.8000","False","False","False","False","False"
"34119","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABN02","","Labor","True","5495.8800","False","False","False","False","False"
"34120","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABN03","","Labor","True","6248.6600","False","False","False","False","False"
"34121","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","True","","False","","","1.0000","0.0000","False","","","","LABN04","","Labor","True","7173.6400","False","False","False","False","False"
"34122","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABN05","","Labor","True","7571.7900","False","False","False","False","False"
"34123","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABN06","","Labor","True","8770.6400","False","False","False","False","False"
"34124","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","8605.3000","0.0000","False","","","","LABN07","","Labor","True","10187.5800","False","False","False","False","False"
"34125","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABR01","","Labor","True","3096.1500","False","False","False","False","False"
"34126","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABR02","","Labor","True","3250.0000","False","False","False","False","False"
"34127","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABR03","","Labor","True","3403.8500","False","False","False","False","False"
"34128","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABR04","","Labor","True","3557.6900","False","False","False","False","False"
"34129","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABR05","","Labor","True","3711.5400","False","False","False","False","False"
"34130","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","","LABR06","","Labor","True","4413.4600","False","False","False","False","False"
"34131","","","","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","4015.3800","0.0000","False","","","","LABR07","","Labor","True","4490.3800","False","False","False","False","False"
"34132","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE400-AMANA","","Bake Element Replacement - Hidden (Double Oven) - Typically Two Technicians","True","275.0000","False","True","False","False","False"
"34133","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE401-AMANA","","Bake Element Replacement - Hidden (Single Oven)","True","220.0000","False","True","False","False","False"
"34134","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE402-AMANA","","Bake Element Replacement (Exposed)","True","110.0000","False","True","False","False","False"
"34135","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE403-AMANA","","Broil Element Replacement (Concealed)","True","165.0000","False","True","False","False","False"
"34136","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE404-AMANA","","Broil Element Replacement (Exposed)","True","110.0000","False","True","False","False","False"
"34137","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE405-AMANA","","Calibrate Oven Temperature Calibration","True","82.5000","False","True","False","False","False"
"34138","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE406-AMANA","","Ceran Glass Cooktop Replacement","True","165.0000","False","True","False","False","False"
"34139","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE407-AMANA","","Coil Element Burner Receptacle Replacement","True","55.0000","False","True","False","False","False"
"34140","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE408-AMANA","","Convect Element Replacement - Double Oven (Requires Oven Removal) - Two Technicians","True","275.0000","False","True","False","False","False"
"34141","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE409-AMANA","","Convect Element Replacement - Single Oven (Requires Oven Removal)","True","220.0000","False","True","False","False","False"
"34142","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE410-AMANA","","Convect Element Replacement (Front Service)","True","110.0000","False","True","False","False","False"
"34143","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE411-AMANA","","Convection Fan Motor/Blade Replacement","True","165.0000","False","True","False","False","False"
"34144","","","40202","False","False","False","0.0000","0.0000","False","","False","False","False","","False","","False","","","0.0000","0.0000","False","","","AMANA","CE412-AMANA","","Cooling Fan Motor/Blade Replacement","True","165.0000","False","True","False","False","False"
