"ID","Description","BranchCode","AddForNewItems","NonSaleable","ShowOnWeb","ImmediateShip","ReserveExclusive","SerialTypeCode","SerialTypeExcludeSpecial","NonSaleableExcludeSpecial","ExclusiveReserveExcludeSpecial","UnExclusiveReserve","UnExclusiveResExcludeSpecial","UnReserveInvoice","UnReserveInvoiceExcludeSpecial","ZeroUniquePrice","ZeroUniquePriceExcludeSpecial","ShipToCustomerCode","Code"
"1","Warehouse (Main 01)","Default","True","False","True","True","False","","True","True","True","False","True","False","True","False","True","",""
"4","Showroom Floor","Default","False","False","False","True","True","DISPLAY","True","True","True","False","True","False","True","False","True","","04"
"5","Closeout/Retail Room","Default","False","False","False","True","True","","True","True","True","False","True","False","True","False","True","","02"
"6","Trey's Warehouse","Default","False","False","False","True","False","","True","True","True","False","True","False","True","False","True","","03"
"7","Service Dept","Default","False","True","False","False","False","SVC","True","True","True","False","True","False","True","False","True","","10"
"8","Lost Inventory","Default","False","True","False","True","False","","True","True","True","False","True","False","True","False","True","","LOST"
"9","Loading Dock","Default","False","True","False","False","False","RTV","True","True","True","False","True","False","True","False","True","","RETUR"
"10","Scrapped Product","Default","False","True","False","False","False","","True","True","True","False","True","False","True","False","True","","SCRAP"
"11","Service Van 1 (Marc H.)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV01"
"12","Service Van 2 (Scott)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV02"
"13","Service Van 3 (Josh)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV03"
"14","Service Van 4 (Mark)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV04"
"15","Service Van 5 (Mitchell)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV05"
"17","Part Returns","Default","False","False","False","True","False","","True","True","True","False","True","False","True","False","True","","RET"
"19","HVAC Truck 1 (Vince)","Default","False","False","False","True","False","","True","True","True","False","True","False","True","False","True","","HVAC1"
"22","Used Parts","Default","False","False","False","True","False","","True","True","True","False","True","False","True","False","True","","USED"
"24","Service Van 7 (John M)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV07"
"25","Service Van 6 (Andrew)","Default","True","False","False","True","False","","True","True","True","False","True","False","True","False","True","","SV06"
"27","Narda Parts","Default","True","True","False","False","False","","True","True","True","False","True","False","True","False","True","","NARDA"
"28","Service Van 1 Bin (Marc H.)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV01B"
"29","Service Van 2 Bin (Scott)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV02B"
"30","Service Van 3 Bin (Josh)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV03B"
"31","Service Van 4 Bin (Mark)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV04B"
"32","Service Van 5 Bin (Mitchell)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV05B"
"33","Service Van 6 Bin (Andrew)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV06B"
"34","Service Van 7 Bin (John M)","Default","False","False","False","False","False","","True","True","False","False","False","False","False","False","False","","SV07B"
"35","Temporary Parts","Default","False","False","False","True","False","","True","False","False","False","False","False","False","False","False","","TEMP"
"36","Service Van 8 (Kyle)","Default","True","False","False","True","False","","True","True","False","False","False","False","False","False","False","","SV08"
"37","HVAC Barn Trey's House","Default","False","False","False","True","False","","True","True","False","False","False","False","False","False","False","","05"
"38","West Warehouse A","Default","False","False","False","True","False","","True","False","False","False","False","False","False","False","False","","06"
"39","Main Warehouse Missing","Default","True","True","False","False","False","","True","False","False","False","False","False","False","False","False","","01L"
"40","West Warehouse Missing","Default","False","True","False","False","False","","True","False","False","False","False","False","False","False","False","","06L"
"41","Palmer Todd Showroom Demo","Default","False","True","False","False","False","","True","False","False","False","False","False","False","False","False","","20"
"42","Serial Inventory Lost Returns","Default","False","True","False","False","False","","True","False","False","False","False","False","False","False","False","","RETLO"
"43","West Warehouse B","Default","False","False","False","False","False","","True","False","False","False","False","False","False","False","False","","07"
"44","Carol & Ray Upstairs Area","Default","False","False","False","True","False","","True","False","False","False","False","False","False","False","False","","11"
"45","Will Call Virtual Masonwood","Default","False","False","False","False","False","","True","False","False","False","False","False","False","False","False","5123068300","WCVMW"
"46","Service Van 9 (Trevor)","Default","True","False","False","True","False","","True","True","False","False","False","False","False","False","False","","SV09"
"47","Trey's House HVAC Outside 03","Default","False","False","False","True","False","","True","False","False","False","False","False","False","False","False","","TREYO"
"48","Service Van 10 (Connor)","Default","True","False","False","True","False","","True","True","False","False","False","False","False","False","False","","SV10"
