"ID","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","TripChargeCode","DeliveryMiscCode","LocationCode","Code","DefaultCallsFriday","DefaultCallsMonday","DefaultCallsSaturday","DefaultCallsSunday","DefaultCallsThursday","DefaultCallsTuesday","DefaultCallsWednesday","Description"
"31","True","True","True","True","True","True","True","","","","DS","50","50","50","6","50","50","50","Dripping Springs"
"32","True","True","True","True","True","True","True","","","","WIMB","22","22","22","6","22","22","22","Wimberley"
"34","True","True","True","True","True","True","True","","","","ROUND","22","22","22","6","22","22","22","Round Moutain"
"35","True","True","True","True","True","True","True","","","","LAKE","22","22","22","6","22","22","22","Lakeway-Steiner Ranch"
"36","True","True","True","True","True","True","True","","","","BLANC","22","22","22","6","22","22","22","Blanco"
"38","True","True","True","True","True","True","True","","","","BUDA","22","22","22","6","22","22","22","Buda"
"39","True","True","True","True","True","True","True","","","","OUT","22","22","22","6","22","22","22","O//S Normal Service Area"
"42","True","True","True","True","True","True","True","","","","SHOP","30","30","30","6","30","30","30","In Shop Repair"
"43","True","True","True","True","True","True","True","","","","OAKHL","22","22","22","6","22","22","22","Oakhill"
"45","True","True","True","True","True","True","True","","","","AUS N","22","22","22","6","22","22","22","Austin North"
"46","True","True","True","True","True","True","True","","","","AUS C","0","0","0","0","0","0","0","Austin Central"
"47","True","True","True","True","True","True","True","","","","AUS S","22","22","22","6","22","22","22","Austin South"
"49","True","True","True","True","True","True","True","","","","BCAVE","22","22","22","6","22","22","22","Bee Cave (71 & 620 Area)"
"50","True","True","True","True","True","True","False","","","","SPICE","16","16","16","0","16","16","16","Spicewood"
"51","True","True","True","True","True","True","False","","","","MANCH","16","16","16","0","16","16","16","Manchaca"
"52","True","True","True","True","True","True","True","","","","KYLE","22","22","22","6","22","22","22","Kyle"
"53","True","True","True","True","True","True","True","","","","DRIFT","22","22","22","6","22","22","22","Driftwood"
"54","True","True","True","True","True","True","False","","","","SANMA","22","22","6","0","22","22","22","San Marcos"
