"ID","Code","Description","PromptCode","Qualification","WarrantyCategory","InstallationEstimate","InstallationNotes","ShowSerialInventory","ShowItemInventory","ShowInvoicing","ProductMinorCode","Points","ShowOnSvcReq","SBProduct","SamsungProduct","ServicePowerProduct","UserCode","SafetyWeeksA","SafetyWeeksB","SafetyWeeksC","SafetyWeeksD","DispatchMeProduct","AvalaraTaxCode"
"3","RAGAS","GAS RANGE","003","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"4","RAELE","ELECTRIC RANGE","005","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"5","RAPRO","PROFESSIONAL RANGE","006","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"6","RETOP","TOP MOUNT REFRIGERATOR","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"7","REBOT","BOTTOM MOUNT REFRIGERATOR","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"8","RESXS","SIDE X SIDE REFRIGERATOR","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"10","REUC","UNDER-COUNTER REFRIGERATOR","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"11","DW","DISHWASHER","001","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"12","IMUC","UNDER-COUNTER ICE MACHINE","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"13","FREUP","UPRIGHT FREEZER","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"14","FRECH","CHEST FREEZER","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"15","OVELE","ELECTRIC WALL OVEN","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"16","OVGAS","GAS WALL OVEN","003","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"17","CTELE","ELECTRIC COOKTOP","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"18","CTGAS","GAS COOKTOP","003","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"19","WASHT","TOP-LOAD WASHER","WASHT","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
