"RouteCode","Department"
"JHM","Service"
"JRC","Service"
"Z-CAB","DELIVERY"
"DHTST","DELIVERY"
"AJH","Service"
"T27","DELIVERY"
"RDW","INACTIVE"
"BLACK","DELIVERY"
"BLACK","ACPACKAGE"
"VJ","Service"
"VJ","DELIVERY"
"VJ","ACPACKAGE"
"CPUS","DELIVERY"
"CPUS","ACPACKAGE"
"WALK","DELIVERY"
"MAP","Service"
"MAP","DELIVERY"
"MAP","ACPACKAGE"
"MWH","INACTIVE"
"SAW","INACTIVE"
"DLA","Service"
"CDM","INACTIVE"
"CIT","Service"
"HVAC1","Service"
"HVAC1","ACPACKAGE"
"ABC","Service"
"ABC","DELIVERY"
"ABC","CABINETS"
"BLL","Service"
"WARE","DELIVERY"
"WARE","ACPACKAGE"
"WARE","CABINETS"
"D01","DELIVERY"
"D01","CABINETS"
"D02","DELIVERY"
"D02","CABINETS"
"D03","DELIVERY"
"D03","CABINETS"
"D04","DELIVERY"
"D04","CABINETS"
"D05","DELIVERY"
"D05","CABINETS"
"D06","DELIVERY"
"D06","CABINETS"
"CEM","Service"
"CEM","DELIVERY"
"TDP","Service"
"TDP","DELIVERY"
"KJB","Service"
"KJB","DELIVERY"
