"ID","ShowInMobileTech","Code","Description"
"4","True","WA100","Drive Motor Replacement"
"5","True","WA101","Motor Coupling Replacement"
"6","True","WA102","Innner/Outer Tub/ Bearing Replacement"
"7","True","WA103","Transmission/Clutch Assembly Replacement"
"8","True","WA104","Belt(s) Replacement"
"9","True","WA200","Pump Replacement"
"10","True","WA201","Water Valve Replacement"
"11","True","WA202","Hose(s) or Clamp(s) Replacement"
"12","True","WA204","Detergent Dispenser Replacement"
"13","True","WA203","Gasket Replacement (Bellows or Regular)"
"14","True","WA205","Remove Debris From Pintrap"
"15","True","DR100","Motor Replacement"
"16","True","DR101","Belt Replacement"
"17","True","DR102","Blower Wheel Replacement"
"18","True","DR103","Tub Roller/Idler Pulley/Belt Kit Replacement"
"19","True","DR104","Drum Replacement"
"20","True","CG400","Electronic Control/Module/Pad Replacement"
"21","True","WA300","Suspension Componet(s) Replacement"
"22","True","DR105","Vent Hose & Clamp(s) Replacement"
"23","True","CG401","Burner Ignition Component Replacement"
"24","True","WA301","Door Assembly Replacement"
"25","True","CG402","Solenoid Replacement"
"26","True","WA302","Light Bulb Replacement"
"27","True","DR400","Electronic Control/Timer Pad Replacement"
"28","True","CG403","Door Latch/Latch Assembly Replacement"
"29","True","DR401","Thermostat Replacement"
"30","True","WA303","WLAN WIFI Card Replacement"
"31","True","CG404","Switch Assembly Replacement"
"32","True","DR402","Hi-Limit/Thermal Fuse Replacement"
"33","True","WA400","Electronic Control/Timer/Pad Replacement"
"34","True","DR403","Heating Element Replacement"
"35","True","CG405","Cooling Fan/Blade Replacement"
"36","True","WA401","Interference Suppressor Replacement"
"37","True","DR404","Door Switch Replacement"
"38","True","CG406","Convection Fan/Blade Replacement"
"39","True","WA402","Heating Element Repacement"
"40","True","DR405","Light Bulb Replacement"
"41","True","CG407","Oven/Grill/Griddle Thermostat Replacement"
"42","True","DR406","Terminal Block Replacement"
"43","True","WA403","Lid/Door Switch Assembly Replacement"
"44","True","CG408","Hi-Limit Thermal Cutout Replacement"
"45","True","DR407","Interference Suppressor Replacement"
"46","True","DR408","Cord Replacement"
"47","True","WA600","Problem Could Not Be Reproduced"
"48","True","DR600","Problem Could Not Be Reproduced"
"49","True","WA601","Address Noise Complaint"
"50","True","CG409","Oven Temp Sensor (Thermister) Replacement"
"51","True","DR601","Address Noise Complaint"
"52","True","CG410","Oven Ignitor (HSI) Replacement"
"53","True","DR602","Major Cabinet Component"
"54","True","WA602","Major Cabinet Component"
"55","True","CG411","Probe Jack Replacement"
"56","True","DR603","Minor Cabinet Component"
"57","True","WA603","Minor Cabinet Component"
"58","True","CG412","Light Bulb Replacement"
"59","True","DR604","Major Component"
"60","True","CG413","Transformer Replacement"
"61","True","WA604","Major Component"
"62","True","DR605","Minor Component"
"63","True","CG200","Burner Assembly Replacement"
"64","True","WA605","Minor Component"
"65","True","DR606","Additional Component"
"66","True","DR607","Cosmetic Part"
"67","True","CG201","Burner Assembly Replacement"
"68","True","WA606","Additional Component Replacement"
"69","True","DR608","Difficult Access Fee"
"70","True","WA607","Cosmetic Part"
"71","True","CG202","Burner Valve Replacement"
"72","True","WA608","Difficult Access Fee"
"73","True","DR609","Level Unit/Adjust Unit"
"74","True","WA609","Level Unit/Adjust Unit"
"75","True","WA610","Repair Burnt Wire or Loose Connection"
"76","True","DR610","Repair Burned Wire(S) or Loose Connection"
"77","True","WA611","Reset Circuit Breaker"
"78","True","DR611","Clear Lint/Debris From Venting"
"79","True","DR612","Reset Circuit Breaker"
