"ID","FloorPlan","ShipToType","SerialTypeCode","ReceiveToLocation","ReceiveToLocationCode","DateEffective","Unreleased","DateCreated","UserCreated","Authorized","DateAuthorized","UserAuthorized","Received","DateConfirmedReceived","UserReceived","Paid","DatePaid","UserPaid","EDISentDate","EDISentTime","RequestedDeliveryDate","AllowBOInvoice","Buyer","Code","Confirmed","CostFactor","DateConfirmed","DateCosted","DateFinished","DateOrdered","DateReceived","DateStarted","FloorPlanDays","ShipToAddress1","ShipToAddress2","ShipToCity","ShipToCode","ShipToName","ShipToNotes","ShipToPhone1","ShipToPhone2","ShipToState","ShipToZipCode","SupplierAccountNumber","SupplierAddress1","SupplierAddress2","SupplierCity","SupplierCode","SupplierContact1","SupplierContact2","SupplierCustomerServicePhone","SupplierDescription","SupplierEmail","SupplierFax","SupplierPONotes","SupplierPhone1","SupplierPhone2","SupplierShipVia","SupplierState","SupplierWebsite","SupplierZipCode","TotalCosted","TotalOrdered","TotalReceived","UserConfirmed"
"43787","","Supplier","ALL","False","","","False","2026-09-21 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39388","","1.0000","","","","","","2026-09-21 00:00:00","0","","","","","","","","","","","95466","PO BOX 88177","","MILWAUKEE","MARCONE","","","","MARCONE APPLIANCE PARTS CO","","","","(800) 482-6022","","","WI","http://www.marcone.com/","53288-8177","0.0000","0.0000","",""
"43788","","Supplier","ALL","False","","","False","2026-09-21 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39389","","1.0000","","","","","","2026-09-21 00:00:00","0","","","","","","","","","","","010051","PO BOX 566268","","DALLAS","APD","","","","RELIABLE PARTS","","(214) 634-7929","","(214) 631-4298","(800) 841-4060","","TX","www.apdepot.com","75356","0.0000","0.0000","",""
"43789","","Supplier","ALL","False","","","False","2026-09-21 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39390","","1.0000","","","","2026-09-21 00:00:00","","2026-09-21 00:00:00","0","","","","","","","","","","","X5128940907","9 INDEPENDENCE WAY","","PRINCETON","MIELE PART","","","","MIELE INC.","","(609) 419-4298","","(800) 843-7231","","","NJ","","08540","0.0000","672.0000","0.0000",""
"43790","","Supplier","ALL","False","","","False","2026-09-21 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","39391","","1.0000","","","","","","2026-09-21 00:00:00","0","","","","","","","","","","","","1901 MAIN STREET","","IRVINE","BSH","","","","BSH HOME APPLIANCES","mbx-irv-order@bshg.com","","","(949) 440-7100","(800) 613-7333","","CA","www.boschappliances.com","92614","0.0000","0.0000","0.0000",""
"43791","","Supplier","ALL","False","","","False","2026-09-21 00:00:00","AMW","","","","","","","","","","","","2026-09-25 00:00:00","True","Andrew Walsh","P231","LUCAS","1.0000","2026-09-21 00:00:00","","","2026-09-21 00:00:00","","2026-09-21 00:00:00","0","","","","","","","","","","","","1901 MAIN STREET","","IRVINE","BSH","","","","BSH HOME APPLIANCES","mbx-irv-order@bshg.com","","","(949) 440-7100","(800) 613-7333","","CA","www.boschappliances.com","92614","0.0000","10188.0000","0.0000","AMW"
"43772","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39373","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","X5128940907","9 INDEPENDENCE WAY","","PRINCETON","MIELE PART","","","","MIELE INC.","","(609) 419-4298","","(800) 843-7231","","","NJ","","08540","0.0000","234.9700","0.0000",""
"43773","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39374","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","95466","PO BOX 88177","","MILWAUKEE","MARCONE","","","","MARCONE APPLIANCE PARTS CO","","","","(800) 482-6022","","","WI","http://www.marcone.com/","53288-8177","0.0000","490.9200","0.0000",""
"43774","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39375","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","","P.O. Box 8387","","CAROL STREAM","ENCOMPASS","","","","ENCOMPASS","","","","","","","IL","","60197","0.0000","5.1100","0.0000",""
"43775","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","KKD","","","","","","","","","","","","","True","Kezia Doane","39376","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","055699","13100 W. 43RD DRIVE","","GOLDEN","AMERICAN","","AR- Brandy 303.633.5518","","GREAT PLAINS APPLIANCE PARTS","sbaca@americanappliance.biz","(303) 633-5503","","(800) 678-6788","(303) 633-5500","","CO","https://www.greatplainsapplianceparts.com","80403","0.0000","273.6900","0.0000",""
"43776","","Supplier","ALL","False","","","False","2026-09-18 00:00:00","AMW","","","","","","","","","","","","2026-09-23 00:00:00","True","Andrew Walsh","39377","","1.0000","","","","2026-09-18 00:00:00","","2026-09-18 00:00:00","0","","","","","","","","","","","949928 Contract","P.O. BOX 8502","","BENTON HARBOR","WP001","","","","WHIRLPOOL CORPORATION","","(214) 550-5613","","(800) 321-7613","","","MI","https://secure5.whirlpool.com/home.jsp","49022","0.0000","8462.0000","0.0000",""
