"ID","RawBarcode","OrderedForInvoiceCode","OrderedForInvoiceDateStamp","OrderedForInvoiceTimeStamp","Spiff","SpiffEndDate","SpiffStartDate","POLineTimeStamp","PODateStamp","DateReserved","Notes","OriginalCost","FreightAmount","FreightInvoiceNumber","ResizePicture","PicturePath","StandardCost","ReserveExclusive","SerialTypeCode","UniqueSellPrice","Discount1","Discount2","Discount3","Discount4","Discount5","Discount6","Discount7","Discount8","Discount9","Discount10","ReserveExclusiveCommentCode","TagPrice","Discount1Method","Discount2Method","Discount3Method","Discount4Method","Discount5Method","Discount6Method","Discount7Method","Discount8Method","Discount9Method","Discount10Method","Discount1Rate","Discount2Rate","Discount3Rate","Discount4Rate","Discount5Rate","Discount6Rate","Discount7Rate","Discount8Rate","Discount9Rate","Discount10Rate","SupplierCode","DyeLot","DoNotService","Available","BinLocationCode","Code","Cost","DateReceived","Features","FloorPlan","FloorPlanDueDate","InvLineDateStamp","InvLineTimeStamp","InvoiceCode","LocationCode","ModelCode","POCode","RunNumber","Status","SupplierInvoice","TrustDocument","TrustDocumentLine"
"103814","","R00015686","2026-09-08 00:00:00","15:41:27:322","0.0000","","","13:58:26:241","2023-12-29 00:00:00","2026-09-14 00:00:00","","1495.0000","0.0000","","False","","1495.0000","True","OPEN","1699.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","GEC","","False","True","PULL1","SIGV300217L","1495.0000","2024-01-10 00:00:00","","","","2026-09-08 00:00:00","15:41:27:322","R00015686","","CWB713P2NS1","32137","","Taken","165464344","","0"
"114816","","S00062666","2026-04-22 00:00:00","08:08:39:344","","","","12:36:17:261","2025-02-26 00:00:00","2026-04-22 00:00:00","","300.0000","0.0000","","","","328.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","00023","300.0000","2025-03-06 00:00:00","","","","2026-04-22 00:00:00","08:08:39:344","S00062666","","9028545","35239","","Taken","95810","","0"
"115742","","AC00010565-1","2026-08-23 00:00:00","09:02:41:337","","","","12:49:49:973","2025-03-25 00:00:00","","","170.8700","0.0000","","","","179.3800","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","TRANE","","False","True","T","00075","170.8700","2025-04-02 00:00:00","","","","2026-08-23 00:00:00","09:02:41:337","AC00010565-1","06","EQBFM215A1AH11","35450","1","Taken","69195824","","0"
"117896","","S00065009","2026-09-18 00:00:00","12:13:30:794","","","","12:54:06:811","2025-06-30 00:00:00","","","1252.7000","0.0000","","","","1129.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","TRANE","","False","True","","4001218T","1252.7000","2025-06-30 00:00:00","","","","2026-09-18 00:00:00","12:13:30:794","S00065009","06","MUZ-HM24NA-U2","36171","","Taken","69385806","","0"
"117904","","S00065009","2026-09-18 00:00:00","12:14:48:262","","","","12:53:11:334","2025-06-30 00:00:00","","","610.2600","0.0000","","","","550.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","TRANE","","False","True","","4002560T","610.2600","2025-07-01 00:00:00","","","","2026-09-18 00:00:00","12:14:48:262","S00065009","06","MSZ-HM24NA-U1","36171","","Taken","69387289","","0"
"120835","","AC00010506","2026-04-02 00:00:00","11:04:38:581","0.0000","","","13:19:51:860","2025-11-10 00:00:00","2026-04-08 00:00:00","","185.0000","0.0000","","False","","185.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","","00004","185.0000","2025-11-13 00:00:00","","","","2026-04-02 00:00:00","11:04:38:581","AC00010506","06","MD8TU","37165","","Taken","90120140","","0"
"121949","","S00062666","2025-06-27 00:00:00","14:41:57:047","","","","12:08:54:341","2025-12-08 00:00:00","2026-09-03 00:00:00","","3936.7500","0.0000","","","","4289.2500","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","TRUE","","False","True","PULL1","11264823","3936.7500","2025-12-30 00:00:00","","","","2025-06-27 00:00:00","14:41:57:047","S00062666","","TUI-15-L-SS-D","37323","","Taken","6944918","","0"
"122919","","S00062666","2025-05-06 00:00:00","12:04:03:611","","","","00:10:29:022","2025-11-17 00:00:00","2026-02-05 00:00:00","","1845.0000","0.0000","","","","1845.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","20193737","1845.0000","2026-02-05 00:00:00","","","","2025-05-06 00:00:00","12:04:03:611","S00062666","","DW2451","X131","","Taken","90268700","","0"
"122931","","AC00010511","2026-04-02 00:00:00","11:02:43:436","0.0000","","","17:47:48:107","2026-01-29 00:00:00","2026-04-09 00:00:00","","244.0000","0.0000","","False","","244.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","","00011","244.0000","2026-02-05 00:00:00","","","","2026-04-02 00:00:00","11:02:43:436","AC00010511","06","MD10TU","37720","","Taken","90268699","","0"
"123319","","S00062666","2025-05-06 00:00:00","12:01:42:282","","","","19:37:47:150","2025-06-12 00:00:00","2026-02-19 00:00:00","","0.0100","0.0000","","","","0.0100","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","00033","0.0100","2026-02-19 00:00:00","","","","2025-05-06 00:00:00","12:01:42:282","S00062666","","828441","36067","","Taken","90296553","","0"
