"TABLE_SCHEM","TABLE_NAME","TABLE_TYPE"
"%BI","Alerts","SYSTEM TABLE"
"%BI","AttachInfo","SYSTEM TABLE"
"%BI","Audit","SYSTEM TABLE"
"%BI","BPM","SYSTEM TABLE"
"%BI","Blog","SYSTEM TABLE"
"%BI","BlogComment","SYSTEM TABLE"
"%BI","BlogImageUpload","SYSTEM TABLE"
"%BI","BlogPost","SYSTEM TABLE"
"%BI","BoardObjCom","SYSTEM TABLE"
"%BI","Category","SYSTEM TABLE"
"%BI","ClsCom","SYSTEM TABLE"
"%BI","ClsComFld","SYSTEM TABLE"
"%BI","CodeTable","SYSTEM TABLE"
"%BI","CodeTableEnc","SYSTEM TABLE"
"%BI","ColorScheme","SYSTEM TABLE"
"%BI","ComputationSetup","SYSTEM TABLE"
"%BI","ComputeField","SYSTEM TABLE"
"%BI","Condition","SYSTEM TABLE"
"%BI","CurrencyRate","SYSTEM TABLE"
"%BI","CusCode","SYSTEM TABLE"
"%BI","DashBoard","SYSTEM TABLE"
"%BI","DashBoardItem","SYSTEM TABLE"
"%BI","DataCapClass","SYSTEM TABLE"
"%BI","DataCaptured","SYSTEM TABLE"
"%BI","DataType","SYSTEM TABLE"
"%BI","DetailList","SYSTEM TABLE"
"%BI","DetailTrail","SYSTEM TABLE"
"%BI","DocMag","SYSTEM TABLE"
"%BI","Docs","SYSTEM TABLE"
"%BI","Echo","SYSTEM TABLE"
"%BI","EchoTrail","SYSTEM TABLE"
"%BI","EdmundPage","SYSTEM TABLE"
"%BI","EmailTrail","SYSTEM TABLE"
"%BI","EscapeSequence","SYSTEM TABLE"
"%BI","ExcelTemplate","SYSTEM TABLE"
"%BI","FORMDESIGN","SYSTEM TABLE"
"%BI","FileTemplates","SYSTEM TABLE"
"%BI","FormDef","SYSTEM TABLE"
"%BI","GetMail","SYSTEM TABLE"
"%BI","Hi","SYSTEM TABLE"
"%BI","IJNSMSLog","SYSTEM TABLE"
"%BI","ImageList","SYSTEM TABLE"
"%BI","KPI","SYSTEM TABLE"
"%BI","KnowledgeAttachment","SYSTEM TABLE"
"%BI","KnowledgeCategory","SYSTEM TABLE"
"%BI","KnowledgeThread","SYSTEM TABLE"
"%BI","KnowledgeThreadPost","SYSTEM TABLE"
"%BI","List","SYSTEM TABLE"
"%BI","ListAttachForm","SYSTEM TABLE"
"%BI","ListDrillDown","SYSTEM TABLE"
"%BI","ListField","SYSTEM TABLE"
"%BI","MailOutBox","SYSTEM TABLE"
"%BI","MailV2","SYSTEM TABLE"
"%BI","ManSession","SYSTEM TABLE"
"%BI","Map","SYSTEM TABLE"
"%BI","MapTable","SYSTEM TABLE"
"%BI","Measure","SYSTEM TABLE"
"%BI","Messages","SYSTEM TABLE"
"%BI","OCR","SYSTEM TABLE"
"%BI","OCRForm","SYSTEM TABLE"
"%BI","OCRRule","SYSTEM TABLE"
"%BI","PerfAlert","SYSTEM TABLE"
"%BI","PerfMet","SYSTEM TABLE"
"%BI","PerfMetNode","SYSTEM TABLE"
"%BI","Period","SYSTEM TABLE"
"%BI","PivotData","SYSTEM TABLE"
"%BI","PivotTable","SYSTEM TABLE"
"%BI","Planner","SYSTEM TABLE"
"%BI","PopUp","SYSTEM TABLE"
"%BI","Presenter","SYSTEM TABLE"
"%BI","Printer","SYSTEM TABLE"
"%BI","Query","SYSTEM TABLE"
"%BI","QueryAttachForm","SYSTEM TABLE"
"%BI","QueryCom","SYSTEM TABLE"
"%BI","QueryDisplayFields","SYSTEM TABLE"
"%BI","QueryDrillDown","SYSTEM TABLE"
"%BI","RecentAccess","SYSTEM TABLE"
"%BI","Roles","SYSTEM TABLE"
"%BI","RuleWorkFlow","SYSTEM TABLE"
"%BI","RuleWorkFlowObj","SYSTEM TABLE"
"%BI","SMS","SYSTEM TABLE"
"%BI","SMStemplate","SYSTEM TABLE"
"%BI","SMrTask","SYSTEM TABLE"
"%BI","ScheduleTaskHist","SYSTEM TABLE"
"%BI","Scheduler","SYSTEM TABLE"
"%BI","Shortcut","SYSTEM TABLE"
"%BI","SpeedTrakMap","SYSTEM TABLE"
"%BI","StoredProc","SYSTEM TABLE"
"%BI","SubCategory","SYSTEM TABLE"
"%BI","SubDuration","SYSTEM TABLE"
"%BI","SubjectTable","SYSTEM TABLE"
"%BI","SysLanguage","SYSTEM TABLE"
"%BI","TCWFHeader","SYSTEM TABLE"
"%BI","TCWFStation","SYSTEM TABLE"
"%BI","TCWFTempHeader","SYSTEM TABLE"
"%BI","TCWFTempStation","SYSTEM TABLE"
"%BI","TEST","SYSTEM TABLE"
"%BI","Template","SYSTEM TABLE"
"%BI","TextList","SYSTEM TABLE"
"%BI","Trace","SYSTEM TABLE"
"%BI","TransGroupTable","SYSTEM TABLE"
"%BI","TransLang2","SYSTEM TABLE"
"%BI","TransTable","SYSTEM TABLE"
"%BI","Transformation","SYSTEM TABLE"
"%BI","UploadF","SYSTEM TABLE"
"%BI","UserDashBoard","SYSTEM TABLE"
"%BI","UserObjList","SYSTEM TABLE"
"%BI","UserRole","SYSTEM TABLE"
"%BI","UserTrail","SYSTEM TABLE"
"%BI","Users","SYSTEM TABLE"
"%BI","VennDiagram","SYSTEM TABLE"
"%BI","View","SYSTEM TABLE"
"%BI","WComputation","SYSTEM TABLE"
"%BI","WPivotTable","SYSTEM TABLE"
"%BI","WebContacts","SYSTEM TABLE"
"%BI","WebGridFS","SYSTEM TABLE"
"%BI","WebSCM","SYSTEM TABLE"
"%BI","WebSCModule","SYSTEM TABLE"
"%BI","WebTmpPic","SYSTEM TABLE"
"%BI","WordTemplate","SYSTEM TABLE"
"%BI","WorkFlow","SYSTEM TABLE"
"%BI","swDashBoardLibTable","SYSTEM TABLE"
"%BI","swMapDB","SYSTEM TABLE"
"%BI","swMapSetupCode","SYSTEM TABLE"
"%BI","swMapSetupTableXY","SYSTEM TABLE"
"%BI","swVennDB","SYSTEM TABLE"
"%BI","swVennGroupDB","SYSTEM TABLE"
"%BI","swVennSetupCode","SYSTEM TABLE"
"%CSP_Util","CSPLogEvent","SYSTEM TABLE"
"%CSP_Util","Performance","SYSTEM TABLE"
"%Calendar","Hijri","SYSTEM TABLE"
"%DeepSee","IDList","SYSTEM TABLE"
"%DeepSee_CubeManager","Audit","SYSTEM TABLE"
"%DeepSee_CubeManager","CubeEvent","SYSTEM TABLE"
"%DeepSee_CubeManager","CubeRegistry","SYSTEM TABLE"
"%DeepSee_Dashboard","Definition","SYSTEM TABLE"
"%DeepSee_Dashboard","Pivot","SYSTEM TABLE"
"%DeepSee_Dashboard","Theme","SYSTEM TABLE"
"%DeepSee_Dashboard","WidgetTemplate","SYSTEM TABLE"
"%DeepSee_PMML_Dataset","Base","SYSTEM TABLE"
"%DeepSee_PMML_Dataset","Cube","SYSTEM TABLE"
"%DeepSee_PMML_Dataset","ResultSet","SYSTEM TABLE"
"%DeepSee_PMML_Dataset","SQL","SYSTEM TABLE"
"%DeepSee_PMML_Dataset","Table","SYSTEM TABLE"
"%DeepSee_PMML_Utils","TempResult","SYSTEM TABLE"
"%DeepSee_Report","DataView","SYSTEM TABLE"
"%DeepSee_Report","DataViewField","SYSTEM TABLE"
"%DeepSee_UserLibrary","Folder","SYSTEM TABLE"
"%DeepSee_UserLibrary","FolderItem","SYSTEM TABLE"
"%DeepSee_UserLibrary","Link","SYSTEM TABLE"
"%DeepSee_UserLibrary","Report","SYSTEM TABLE"
"%DeepSee_UserLibrary","Worksheet","SYSTEM TABLE"
"%DeepSee_UserPortal_Data","Alert","SYSTEM TABLE"
"%DeepSee_UserPortal_Data","UserName","SYSTEM TABLE"
"%DeepSee_XMLA","EnumerationsRowset","SYSTEM TABLE"
"%DeepSee_XMLA","KeywordsRowset","SYSTEM TABLE"
"%DeepSee_XMLA","LiteralsRowset","SYSTEM TABLE"
"%DeepSee_XMLA","PropertiesRowset","SYSTEM TABLE"
"%DeepSee_XMLA","SchemasRowset","SYSTEM TABLE"
"%DeepSee_extensions_components","PCA","SYSTEM TABLE"
"%DeepSee_extensions_utils","LDA","SYSTEM TABLE"
"%Dictionary","ClassDefinition","SYSTEM TABLE"
"%Dictionary","CompiledClass","SYSTEM TABLE"
"%Dictionary","CompiledConstraint","SYSTEM TABLE"
"%Dictionary","CompiledConstraintMethod","SYSTEM TABLE"
"%Dictionary","CompiledForeignKey","SYSTEM TABLE"
"%Dictionary","CompiledIndex","SYSTEM TABLE"
"%Dictionary","CompiledIndexMethod","SYSTEM TABLE"
