family_code,family,labor_tax_rule,old_book_Y,old_book_N
AC,HVAC,N,0,49
CE,Cooking - Electric,by_install_type,55,0
CF,Coffee,N,0,37
CG,Cooking - Gas,by_install_type,64,0
CO,Cooktop,N,0,29
DI,(unknown DI),N,0,17
DISL,Discount Labor,N,0,1
DR,Dryer,Y,34,0
DW,Dishwasher,N,0,50
GR,Grill,by_install_type,0,39
ID,(unknown ID),Y,35,0
IM,Ice Maker,N,0,53
INSHP,In Shop,Y,1,0
L,Additional Labor,by_install_type,3,0
MS,Misc,by_install_type,1,0
MW,Microwave,by_install_type,37,0
OD,(unknown OD),Y,29,0
RE,Refrigeration,by_install_type,63,0
SO,Wall Oven,N,0,45
VA,(unknown VA),Y,14,0
VH,Vent Hood,N,0,27
WA,Washer,Y,37,0
WD,Warming Drawer,N,0,23
