family_code,family,task,base_hours,hourly_rate,price,labor_taxable_default,tax_mixed_by_brand,hours_vary_by_brand,brand_count,epass_code_stems,flags
AC,HVAC,Additional Component Replacement,0.5,150,75.0,N,no,no,5,AC100,modifier
AC,HVAC,Charge Unit with Refrigerant Per Manufacturer Specifications,1.5,150,225.0,N,no,no,5,AC101,
AC,HVAC,Condensate Drain Cleaning/Clear Debris,0.75,150,112.5,N,no,no,5,AC102,
AC,HVAC,Condensate Drain Repair/Replacement PVC Fittings - Major,1.25,150,187.5,N,no,no,5,AC103,
AC,HVAC,Condensate Drain Repair/Replacement PVC Fittings - Minor,1.25,150,187.5,N,no,no,5,AC104,
AC,HVAC,Cosmetic Part Replacement,0.5,150,75.0,N,no,no,5,AC105,
AC,HVAC,Difficult Access Fee,1,150,150,N,no,no,5,AC106,modifier modifier
AC,HVAC,Fire Ant Treatment at Outdoor Unit,0.5,150,75.0,N,no,no,5,AC109,
AC,HVAC,Flex Duct Replacement Per Duct Run - 10-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC110,
AC,HVAC,Flex Duct Replacement Per Duct Run - 10-inch Diameter - Under 25 Feet - Materials NOT Included,1.25,150,187.5,N,no,no,5,AC111,
AC,HVAC,Flex Duct Replacement Per Duct Run - 12-inch Diameter - Over 25 Feet - Materials NOT Included,1.75,150,262.5,N,no,no,5,AC112,
AC,HVAC,Flex Duct Replacement Per Duct Run - 12-inch Diameter - Under 25 Feet - Materials NOT Included,1.25,150,187.5,N,no,no,5,AC113,
AC,HVAC,Flex Duct Replacement Per Duct Run - 14-inch Diameter - Over 25 Feet - Materials NOT Included,1.75,150,262.5,N,no,no,5,AC114,
AC,HVAC,Flex Duct Replacement Per Duct Run - 14-inch Diameter - Under 25 Feet - Materials NOT Included,1.25,150,187.5,N,no,no,5,AC115,
AC,HVAC,Flex Duct Replacement Per Duct Run - 16-inch Diameter - Over 25 Feet - Materials NOT Included,2,150,300,N,no,no,5,AC116,
AC,HVAC,Flex Duct Replacement Per Duct Run - 16-inch Diameter - Under 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC117,
AC,HVAC,Flex Duct Replacement Per Duct Run - 18-inch Diameter - Over 25 Feet - Materials NOT Included,2.25,150,337.5,N,no,no,5,AC118,
AC,HVAC,Flex Duct Replacement Per Duct Run - 18-inch Diameter - Under 25 Feet - Materials NOT Included,1.75,150,262.5,N,no,no,5,AC119,
AC,HVAC,Flex Duct Replacement Per Duct Run - 20-inch Diameter - Over 25 Feet - Materials NOT Included,2.5,150,375.0,N,no,no,5,AC120,
AC,HVAC,Flex Duct Replacement Per Duct Run - 20-inch Diameter - Under 25 Feet - Materials NOT Included,2,150,300,N,no,no,5,AC121,
AC,HVAC,Flex Duct Replacement Per Duct Run - 4-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC122,
AC,HVAC,Flex Duct Replacement Per Duct Run - 4-inch Diameter - Under 25 Feet - Materials NOT Included,1,150,150,N,no,no,5,AC123,
AC,HVAC,Flex Duct Replacement Per Duct Run - 5-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC124,
AC,HVAC,Flex Duct Replacement Per Duct Run - 5-inch Diameter - Under 25 Feet - Materials NOT Included,1,150,150,N,no,no,5,AC125,
AC,HVAC,Flex Duct Replacement Per Duct Run - 6-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC126,
AC,HVAC,Flex Duct Replacement Per Duct Run - 6-inch Diameter - Under 25 Feet - Materials NOT Included,1,150,150,N,no,no,5,AC127,
AC,HVAC,Flex Duct Replacement Per Duct Run - 7-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC128,
AC,HVAC,Flex Duct Replacement Per Duct Run - 7-inch Diameter - Under 25 Feet - Materials NOT Included,1,150,150,N,no,no,5,AC129,
AC,HVAC,Flex Duct Replacement Per Duct Run - 8-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC130,
AC,HVAC,Flex Duct Replacement Per Duct Run - 8-inch Diameter - Under 25 Feet - Materials NOT Included,1,150,150,N,no,no,5,AC131,
AC,HVAC,Flex Duct Replacement Per Duct Run - 9-inch Diameter - Over 25 Feet - Materials NOT Included,1.5,150,225.0,N,no,no,5,AC132,
AC,HVAC,Flex Duct Replacement Per Duct Run - 9-inch Diameter - Under 25 Feet - Materials NOT Included,1,150,150,N,no,no,5,AC133,
AC,HVAC,"Inspect Indoor Unit, Outdoor Unit, Refrigerant Lines",1.25,150,187.5,N,no,no,5,AC134,
AC,HVAC,Major Cabinet Component,4,150,600,N,no,no,5,AC135,
AC,HVAC,Major Component,4,150,600,N,no,no,5,AC136,
AC,HVAC,Minor Cabinet Component,1,150,150,N,no,no,5,AC137,
AC,HVAC,Minor Component,1,150,150,N,no,no,5,AC138,
AC,HVAC,Minor Duct Repair,1,150,150,N,no,no,5,AC139,
AC,HVAC,"Perform HVAC System Maintenance (Additional Unit) - Includes visual inspection of indoor/outdoor units, check and record refrigerant levels, clean filters, check and record temperature differential, inspect drain.",0.6,150,90.0,N,no,no,5,AC141,modifier
AC,HVAC,"Perform HVAC System Maintenance - Includes visual inspection of indoor/outdoor units, check and record refrigerant levels, clean filters, check and record temperature differential, inspect drain.",1,150,150,N,no,no,5,AC140,
AC,HVAC,Perform Maintenance on Electronic Air Cleaner,0.75,150,112.5,N,no,no,5,AC142,
AC,HVAC,Problem Could Not Be Not Reproduced,0.5,150,75.0,N,no,no,5,AC144,
AC,HVAC,Refrigerant Leak Repair Minor,2,150,300,N,no,no,5,AC145,
AC,HVAC,Refrigerant Recovery,1,150,150,N,no,no,5,AC146,
AC,HVAC,Repair Burnt Wire(s) or Loose Connection - Outdoor/Indoor Unit,0.75,150,112.5,N,no,no,5,AC147,
AC,HVAC,Replace Air Filter(s),0.4,150,60.0,N,no,no,5,AC148,
AC,HVAC,Return Air Grill Replacement,0.5,150,75.0,N,no,no,5,AC149,
AC,HVAC,Supply Grill Replacement,0.25,150,37.5,N,no,no,5,AC150,
AC,HVAC,Thermostat/Control Replacement,1,150,150,N,no,no,5,AC151,
CE,Cooking - Electric,Additional Component Replacement,0.5,130,65.0,Y,yes,no,29,CE600,modifier
CE,Cooking - Electric,Address Noise Complaint,0.5,130,65.0,Y,yes,no,29,CE601,
CE,Cooking - Electric,Bake Element Replacement (Exposed),1,130,130,Y,yes,no,29,CE402,
CE,Cooking - Electric,Bake Element Replacement - Hidden (Double Oven) - Typically Two Technicians,2.5,130,325.0,Y,yes,no,29,CE400,two-tech hidden
CE,Cooking - Electric,Bake Element Replacement - Hidden (Single Oven),2,130,260,Y,yes,no,29,CE401,hidden
CE,Cooking - Electric,Broil Element Replacement (Concealed),1.5,130,195.0,Y,yes,no,29,CE403,
CE,Cooking - Electric,Broil Element Replacement (Exposed),1,130,130,Y,yes,no,29,CE404,
CE,Cooking - Electric,Cabinet Component Repair - Major,3,130,390,Y,yes,no,29,CE602,
CE,Cooking - Electric,Cabinet Component Repair - Minor,1,130,130,Y,yes,no,29,CE603,
CE,Cooking - Electric,Calibrate Oven Temperature Calibration,0.75,130,97.5,Y,yes,no,29,CE405,
CE,Cooking - Electric,Ceran Glass Cooktop Replacement,1.5,130,195.0,Y,yes,no,29,CE406,
CE,Cooking - Electric,Coil Element Burner Receptacle Replacement,0.5,130,65.0,Y,yes,no,29,CE407,
CE,Cooking - Electric,Component Replacement/Repair - Major,3,130,390,Y,yes,no,29,CE604,
CE,Cooking - Electric,Component Replacement/Repair - Minor,1,130,130,Y,yes,no,29,CE605,
CE,Cooking - Electric,Convect Element Replacement (Front Service),1,130,130,Y,yes,no,29,CE410,
CE,Cooking - Electric,Convect Element Replacement - Double Oven (Requires Oven Removal) - Two Technicians,2.5,130,325.0,Y,yes,no,29,CE408,two-tech
CE,Cooking - Electric,Convect Element Replacement - Single Oven (Requires Oven Removal),2,130,260,Y,yes,no,29,CE409,
CE,Cooking - Electric,Convection Fan Motor/Blade Replacement,1.5,130,195.0,Y,yes,no,29,CE411,
CE,Cooking - Electric,Cooling Fan Motor/Blade Replacement,1.5,130,195.0,Y,yes,no,29,CE412,
CE,Cooking - Electric,Cosmetic Part Replacement - Major,0.75,130,97.5,Y,yes,no,29,CE606,
CE,Cooking - Electric,Cosmetic Part Replacement - Minor,0.25,130,32.5,Y,yes,no,29,CE607,
CE,Cooking - Electric,Difficult Access Fee,0.5,130,65.0,Y,yes,no,29,CE608,modifier modifier
CE,Cooking - Electric,Door Component Replacement - Oven Glass-Liner-Handle-etc.,0.75,130,97.5,Y,yes,yes,29,CE413,
CE,Cooking - Electric,Door Hinge Assembly Replacement,1,130,130,Y,yes,no,29,CE414,
CE,Cooking - Electric,Door Hinge Receiver Replacement (Double Wall Oven) - Typically Two Technicians,2,130,260,Y,yes,no,29,CE415,two-tech
CE,Cooking - Electric,Door Hinge Receiver Replacement (Pro Range),2,130,260,Y,yes,no,29,CE416,pro
CE,Cooking - Electric,Door Hinge Receiver Replacement (Single Wall Oven),1.25,130,162.5,Y,yes,no,29,CE417,
CE,Cooking - Electric,Door Hinge Receiver Replacement (Standard Freestanding Range),1,130,130,Y,yes,no,29,CE418,
CE,Cooking - Electric,Door Lock/Latch Assembly Replacement,1,130,130,Y,yes,no,29,CE419,
CE,Cooking - Electric,Door/Window Cleaning Double Oven,1,130,130,Y,yes,no,29,CE420,
CE,Cooking - Electric,Door/Window Cleaning Single Oven,0.75,130,97.5,Y,yes,no,29,CE421,
CE,Cooking - Electric,Drip Bowl Replacement - Coil Element,0.2,130,26.0,Y,yes,no,29,CE422,
CE,Cooking - Electric,Electronic Control/Module Replacement,1,130,130,Y,yes,no,29,CE423,
CE,Cooking - Electric,Griddle/Grill Component Replacement,0.5,130,65.0,Y,yes,no,29,CE424,
CE,Cooking - Electric,Grill/Griddle Thermostat Replacement,1,130,130,Y,yes,no,29,CE425,
CE,Cooking - Electric,Hi-Limit Thermal Cutout Replacement (Front Service),0.75,130,97.5,Y,yes,no,29,CE426,
CE,Cooking - Electric,Hi-Limit Thermal Cutout Replacement (Rear Service),1,130,130,Y,yes,yes,29,CE427,rear-service
CE,Cooking - Electric,Level Unit/Adjust Unit,0.5,130,65.0,Y,yes,no,29,CE609,
CE,Cooking - Electric,Leveling Legs/Wheel Replacement (Pro Range),1,130,130,Y,yes,yes,29,CE428,pro
CE,Cooking - Electric,Leveling Legs/Wheel Replacement (Standard Range),0.5,130,65.0,Y,yes,yes,29,CE429,
CE,Cooking - Electric,Light Bulb Replacement (Front Service),0.2,130,26.0,Y,yes,no,29,CE430,
CE,Cooking - Electric,Light Bulb Replacement (Rear Service),0.5,130,65.0,Y,yes,no,29,CE431,rear-service
CE,Cooking - Electric,Oven Temp Sensor (Thermistor) Replacement,0.75,130,97.5,Y,yes,yes,29,CE432,
CE,Cooking - Electric,Oven Thermostat Replacement,2,130,260,Y,yes,no,29,CE433,
CE,Cooking - Electric,Power Cord/Electrical Conduit Replacement,0.5,130,65.0,Y,yes,no,29,CE434,
CE,Cooking - Electric,Probe Jack Replacement,1,130,130,Y,yes,no,29,CE435,
CE,Cooking - Electric,Problem Could Not Be Reproduced,0.5,130,65.0,Y,yes,no,29,CE610,
CE,Cooking - Electric,Rack Replacement - Oven,0.15,130,19.5,Y,yes,no,29,CE436,
CE,Cooking - Electric,Repair Burnt Wire(s) or Loose Connection(s),0.75,130,97.5,Y,yes,no,29,CE611,
CE,Cooking - Electric,Reset Home Circuit Breaker,0.25,130,32.5,Y,yes,no,29,CE612,
CE,Cooking - Electric,Surface Element Replacement - Ceran Glass Top,1.5,130,195.0,Y,yes,no,29,CE437,
CE,Cooking - Electric,Surface Element Replacement - Coil Top,0.35,130,45.5,Y,yes,no,29,CE438,
CE,Cooking - Electric,Switch Replacement - Burner/Selector,1,130,130,Y,yes,no,29,CE439,
CE,Cooking - Electric,Terminal Block Replacement - Electrical Connection,0.5,130,65.0,Y,yes,no,29,CE440,
CE,Cooking - Electric,Transformer Replacement,0.75,130,97.5,Y,yes,no,29,CE441,
CF,Coffee,Additional Component Replacement,0.5,130,65.0,N,no,no,13,CF600,modifier
CF,Coffee,Address Noise Complaint,0.5,130,65.0,N,no,no,13,CF601,
CF,Coffee,Brew Unit Replacement,0.25,130,32.5,N,no,no,13,CF400,
CF,Coffee,Cabinet Component Repair - Major,3,130,390,N,no,no,13,CF602,
CF,Coffee,Cabinet Component Repair - Minor,1,130,130,N,no,no,13,CF603,
CF,Coffee,Cleaning & Maintenance,1.5,130,195.0,N,no,no,13,CF401,
CF,Coffee,Coffee Bean Storage Bin Replacement,0.25,130,32.5,N,no,no,13,CF402,
CF,Coffee,Component Replacement/Repair - Major,3,130,390,N,no,no,13,CF604,
