zip,tickets_2026,epass_zones_seen,techs_seen,km_from_shop,zone_group,booking_mode
78620,504,DS:452; LOCAL:24; SHOP:18,DLA:130; AJH:61; BLL:60; CIT:60,2.5,Core Hill Country,open
78737,300,LOCAL:266; DS:15; OAKHL:11,DLA:84; AJH:46; CIT:42; CEM:33,9.9,Core Hill Country,open
78746,248,AUS W:218; LOST:17; AUS S:5,AJH:73; CEM:69; JRC:55; MAP:20,26.8,Austin Metro,open
78619,172,DRIFT:165; DS:6; LOCAL:1,KJB:76; DLA:39; CEM:21; CIT:14,9.4,Core Hill Country,open
78703,167,AUS C:163; AUS W:2; AUS S:1,JRC:142; CEM:15; MJI:3; VWJ:2,29.9,Austin Metro,open
78676,158,WIMB:157; DS:1,KJB:126; TDP:14; BLL:6; MJI:6,23.7,South Corridor,open
78738,131,BCAVE:102; LAKE:23; LOST:2,TDP:94; AJH:15; CIT:13; MJI:3,16.1,Austin Metro,open
78701,99,AUS C:94; AUS W:3; AUS S:1,JRC:90; MJI:5; CEM:2; AJH:1,30.8,Austin Metro,open
78669,82,SPICE:77; BRIAR:2; LAKE:2,TDP:72; CIT:6; MJI:3; MAP:1,22.3,Austin Metro,open
78735,78,LOST:57; OAKHL:17; AUS W:2,AJH:34; TDP:20; CIT:11; CEM:6,19.5,Austin Metro,open
78624,72,FBURG:70; LOST:2,JHM:53; VWJ:8; DLA:7; MAP:2,76.2,West,designated_days
78704,66,AUS S:35; AUS C:30; AUS W:1,JRC:31; CEM:14; MJI:11; AJH:6,29.3,Austin Metro,open
78731,62,AUS C:36; AUS N:24; AUS S:1,JRC:49; CIT:5; CEM:3; MJI:2,32.5,Austin Metro,open
78739,57,AUS S:30; LOCAL:12; OAKHL:12,AJH:15; KJB:9; TDP:8; DLA:7,16.3,Austin Metro,open
78733,51,LOST:44; BCAVE:7,TDP:32; AJH:12; MJI:3; CIT:2,21.7,Austin Metro,open
78606,43,BLANC:39; FISCH:4,JHM:18; DLA:12; AJH:4; KJB:3,38.3,West,designated_days
78734,39,LAKE:38; SHOP:1,TDP:25; AJH:5; MJI:4; CIT:2,23.7,Austin Metro,open
78636,34,JC:31; HENLY:1; LOCAL:1,JHM:13; DLA:10; BLL:4; VWJ:3,34.7,West,designated_days
78736,31,OAKHL:18; LOCAL:7; BCAVE:3,AJH:8; DLA:7; CEM:4; KJB:3,15.5,Core Hill Country,open
78666,29,SANMA:29,KJB:26; BLL:3,35.0,South Corridor,open
78749,24,OAKHL:14; AUS S:10,AJH:14; CEM:3; MJI:3; KJB:2,18.3,Core Hill Country,open
78610,22,BUDA:22,KJB:21; VWJ:1,20.2,South Corridor,open
78657,20,HORSE:20,TDP:20,49.4,Northwest Lakes,designated_days
78705,17,AUS C:14; JC:3,JRC:10; CEM:4; BLL:2; JHM:1,32.8,Austin Metro,open
78732,17,LAKE:14; R2222:1; BCAVE:1,CIT:7; TDP:4; BLL:2; MJI:2,,Austin Metro,open
78756,16,AUS N:14; AUS C:2,JRC:11; CIT:3; CEM:1; MJI:1,,Austin Metro,open
78745,14,AUS S:12; AUS W:2,KJB:4; AJH:3; CEM:2; JRC:2,24.6,Austin Metro,open
78748,14,AUS S:10; AUS W:2; OAKHL:1,MAP:5; CEM:4; KJB:2; BLL:2,21.6,Austin Metro,open
78730,13,LAKE:8; R2222:3; SHOP:1,CIT:6; TDP:2; RDW:2; MAP:1,27.9,Austin Metro,open
78757,11,AUS N:10; AUS C:1,JRC:9; CEM:1; VWJ:1,33.4,Austin Metro,open
78663,11,ROUND:8; FBURG:1; JC:1,JHM:4; CEM:4; DLA:2; TDP:1,23.7,Northwest Lakes,designated_days
78759,10,AUS N:10,JRC:5; BLL:2; CEM:2; CIT:1,,Austin Metro,open
78751,10,AUS N:4; AUS C:4; AUS S:2,JRC:8; CEM:2,33.5,Austin Metro,open
78006,9,BOERN:8; SA:1,JHM:5; CEM:2; MAP:2,77.1,West,designated_days
78613,8,CEDAR:7; AUS N:1,CIT:4; TDP:2; BLL:1; JRC:1,45.3,North,office_only
78640,8,KYLE:6; SHOP:2,KJB:6; TDP:1; KKD:1,30.3,South Corridor,open
78130,6,BRAUN:5; SHOP:1,CEM:4; KJB:1; BLL:1,,Far South,designated_days
78747,5,AUS S:3; AUS C:2,KJB:3; BLL:2,,Austin Metro,open
78643,5,HORSE:2; LLANO:2; OUT:1,TDP:4; MAP:1,63.2,Northwest Lakes,designated_days
78133,5,CANYO:5,BLL:2; MJI:2; JHM:1,,Far South,designated_days
78654,5,MFALL:4; ROUND:1,TDP:4; JHM:1,38.1,Northwest Lakes,designated_days
78671,4,STONE:4,JHM:2; DLA:2,54.4,West,designated_days
78723,4,AUS E:4,JRC:4,36.9,Austin Metro,open
78722,4,AUS E:4,JRC:4,,Austin Metro,open
78750,4,AUS N:4,JRC:3; CIT:1,35.7,Austin Metro,open
78830,3,R2222:3,CIT:3,,Austin Metro,open
78717,3,AUS N:2; CEDAR:1,CIT:3,,Austin Metro,open
78623,3,FISCH:3,KJB:3,30.0,Far South,designated_days
78702,3,AUS C:2; AUS E:1,JRC:2; MJI:1,,Austin Metro,open
78709,3,AUS S:3,MAP:3,30.8,Austin Metro,open
78729,2,AUS W:2,AJH:2,,Austin Metro,open
78635,2,JC:1; OUT:1,JHM:2,,West,designated_days
78644,2,OUT:2,BLL:1; KJB:1,,Out of area,office_only
78727,2,AUS N:2,JRC:2,,Austin Metro,open
78626,2,GEORG:2,CIT:1; CEM:1,61.1,North,office_only
78776,2,WIMB:2,KJB:2,,South Corridor,open
78210,2,SA:2,MAP:2,,Out of area,office_only
78628,2,GEORG:2,JRC:1; CIT:1,,North,office_only
78163,2,BOERN:2,JHM:2,60.8,West,designated_days
78631,2,OUT:1; KERR:1,JHM:2,110.9,Out of area,office_only
78070,2,BOERN:2,JHM:2,43.4,West,designated_days
78642,1,GEORG:1,CIT:1,,North,office_only
78724,1,AUS E:1,JRC:1,,Austin Metro,open
78645,1,LAGO:1,CIT:1,,Austin Metro,open
78641,1,AUS N:1,CIT:1,,Austin Metro,open
78028,1,OUT:1,JHM:1,111.5,Out of area,office_only
78010,1,KERR:1,JHM:1,,Out of area,office_only
78744,1,AUS S:1,KJB:1,,Austin Metro,open
78675,1,OUT:1,JHM:1,,Out of area,office_only
78639,1,SHOP:1,TDP:1,,Core Hill Country,open
78957,1,OUT:1,JRC:1,,Out of area,office_only
78257,1,SA:1,JHM:1,80.8,Out of area,office_only
78015,1,BOERN:1,JHM:1,76.4,West,designated_days
78132,1,BRAUN:1,CEM:1,49.7,Far South,designated_days
78655,1,SANMA:1,KJB:1,45.1,South Corridor,open
76832,1,OUT:1,CEM:1,106.3,Out of area,office_only
78753,1,AUS N:1,CIT:1,,Austin Metro,open
78681,1,ROUND:1,CIT:1,,Northwest Lakes,designated_days
