Item: Internal ID,Item Name,Price Level,Price,Purchase Price (Cost),Currency
,Universal NEMA 5-15 Cord,Base Price,12.95,5.18,US Dollar
,Dryer Vent Kit,Base Price,27.95,11.18,US Dollar
,Dryer Cord,Base Price,29.95,11.98,US Dollar
,Washer Fill Hoses - 5ft Rubber,Base Price,21.95,8.78,US Dollar
,Washer Fill Hoses - 5ft Stainless,Base Price,29.95,11.98,US Dollar
,Washer Fill Hoses - 10ft Stainless,Base Price,39.95,15.98,US Dollar
,Dryer Steam Kit,Base Price,24.95,9.98,US Dollar
,Range Cord,Base Price,34.95,13.98,US Dollar
,Dishwasher Install Kit,Base Price,29.95,11.98,US Dollar
,Universal Gas Install Kit,Base Price,34.95,13.98,US Dollar
,Refrigerator Water Supply - Stainless,Base Price,21.95,8.78,US Dollar
